# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6327] OSKALOOSA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6327
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     2    10     7     0    19        0     4    40    29     0    73
 1952     4    21    19     8    10    62       11   106    95    20    34   266
 1953     5    13    19    19     8    64       22    69   145   152    69   457
 1954     1    20    25    13     9    68        2   125   230    70    56   483
 1955     5     2    27    27    10    71        8     9   226   207    80   530
 1956     7    22    17    13    10    69       30   155   142    62    40   429
 1957     0     7    22    12     1    42        0    25   130    44     1   200
 1958     1     5     0    15     1    22        2    24     0    46     2    74
 1959     0     6     8    17     3    34        0    24    20    63    13   120
 1960     0     1    13    15     8    37        0     2    58    58    62   180
 1961     1    10    11    14     7    43        1    45    39    59    29   173
 1962    10    10    12    11     3    46       23    24    37    49    13   146
 1963     2    18    18     9     5    52        8   104    61    38    13   224
 1964     5    10    21    12     4    52       16    33   121    75    18   263
 1965     2     4     9    12     1    28        2     7    54    85     3   151
 1966     4     8    21    10     1    44       10    24   147    35     4   220
 1967     5     3    13     8     1    30       23     7    81    20     1   132
 1968     1    17    14    15     3    50        3    77    67   105     4   256
 1969     2     5    16    15     0    38        5    15    71    45     0   136
 1970     3     8    21    13     5    50        8    39   142    49    15   253
 1971     0    22    15    16    13    66        0   117    47    73    58   295
 1972     6     9    14    14     5    48        9    39    63    96    18   225
 1973     0    10    18    18     2    48        0    30    66    68     4   168
 1974     1     6    25     6     0    38        1    16   174    15     0   206
 1975     4    11    24    13     3    55       10    35   142    95    20   302
 1976     0     8    17    12     6    43        0    16    82    52    16   166
 1977     4    17    26     9     0    56       11    94   227    25     0   357
 1978     3    10    15    14    10    52        6    36    50    53    50   195
 1979     0     5    16    14     6    41        0     9    38    78    17   142
 1980     3     8    24    19     6    60       11    30   170   103    24   338
 1981     0     8    10     6     4    28        0    23    48    21     7    99
 1982     0     1    15     7     1    24        0     3    42    32     2    79
 1983     0    11    28    29    10    78        0    48   224   328    44   644
 1984     0     4    15    19    10    48        0     9    82   109    42   242
 1985     2     4    12     5    10    33        7    25    45    17    57   151
 1986     0     7    13     1     0    21        0    22    45     3     0    70
 1987     1    11    16     7     0    35        1    59    94    36     0   190
 1988     3    15    24    18     4    64        9   120   163   176     9   477
 1989     2     2    14     6     0    24        2     4    90    17     0   113
 1990     0     6     7     9     6    28        0    16    33    32    29   110
 1991     5    11    13    12     4    45        8    41    84    58    13   204
 1992     0     7     3     3     0    13        0    10     8     7     0    25
 1993     0     3     4     7     1    15        0     4    11    19     2    36
 1994     0     9     8     7     4    28        0    24    19    27    11    81
 1995     0     9    11    19     3    42        0    30    71    96     3   200
 1996     2    10     7     4     0    23        6    31    26    11     0    74
 1997     1     6    13     8     3    31        1     9    77    25     6   118
 1998     1     6     6     6     4    23        2    21    22    14    15    74
 1999     0     6    19     4     5    34        0    12   104    12    16   144
 2000     2     4     3     7    11    27        5    11     9    19    59   103
 2001     0     5    13    13     1    32        0    10    70    60     4   144
 2002     0    10    19     8     9    46        0    29    96    33    34   192
 2003     1     3     9    16     1    30        4     9    41   109     3   166
 2004     1     2     3     2     0     8        3     2    10     6     0    21
 2005     0    10    17     0     0    27        0    34   114     0     0   148
 **************************************************************************************
MEANS   1.8   8.5  14.8  11.3   4.2  40.6      4.9  35.4  83.5  58.8  18.5 201.2
