# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6566] PERRY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia6566
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  28  11  30  10  39  18  54  32  66  42  75  53  83  61  84  61  80  56  73  44  56  35  38  21
  2  28  11  28   8  41  20  53  33  68  42  76  53  84  62  84  62  81  58  73  44  53  33  39  22
  3  28  10  28   8  39  20  54  32  67  43  76  52  83  61  84  62  81  57  71  43  52  32  40  21
  4  26   8  30  10  38  20  53  30  67  44  77  54  83  62  83  61  80  56  68  42  50  30  38  20
  5  26   7  30  10  39  20  53  31  70  46  78  55  84  62  82  61  80  54  68  42  50  29  38  20
  6  27   8  29  11  38  19  56  32  69  45  80  56  84  61  82  61  79  54  66  42  49  29  37  17
  7  26   6  29   9  39  18  57  33  68  45  80  58  85  62  82  61  80  56  65  40  51  28  33  17
  8  26   5  30  10  39  20  58  34  68  45  80  57  85  63  83  61  81  54  67  40  51  28  33  16
  9  25   6  31  10  40  21  54  32  69  46  79  57  85  62  83  61  78  54  66  39  49  28  33  13
 10  25   6  31  13  41  22  55  33  70  45  79  58  84  62  83  60  77  52  64  39  51  27  33  15
 11  26   7  31  12  42  23  57  35  71  47  80  58  84  63  82  58  78  51  65  40  48  27  32  14
 12  27   9  30  12  43  24  57  35  71  46  80  59  85  64  81  58  78  51  67  40  49  27  31  13
 13  29   9  32  12  42  24  57  34  70  46  82  59  85  64  83  59  76  52  66  41  48  27  32  13
 14  29  10  34  14  43  24  59  36  71  48  82  60  85  63  82  59  74  51  66  42  47  27  32  13
 15  28   8  33  15  44  23  58  36  73  48  80  59  85  62  82  59  73  50  67  40  48  27  31  14
 16  26   6  33  12  44  23  61  37  72  49  79  58  85  62  82  59  72  49  65  40  48  27  32  13
 17  28   7  33  13  45  25  62  38  74  50  80  58  85  63  83  60  73  49  64  38  46  27  31  13
 18  28  10  35  17  44  26  63  38  73  51  81  60  86  65  83  60  75  50  63  37  48  28  30  12
 19  27   7  35  17  44  27  65  40  74  50  82  59  86  65  82  60  74  51  60  36  46  26  32  13
 20  26   7  36  16  45  27  64  41  75  50  82  60  86  65  81  59  73  49  61  35  46  25  29  13
 21  26   6  35  16  46  25  63  40  75  51  81  60  84  63  81  59  71  47  62  38  44  23  28  11
 22  30  10  36  16  46  25  63  39  74  52  81  59  84  63  82  59  71  45  64  38  44  23  29  13
 23  30   9  37  19  49  26  63  40  74  51  81  59  84  63  81  59  69  44  60  38  44  23  31  14
 24  29   8  37  17  48  26  65  40  73  51  82  59  85  62  81  59  69  44  60  37  41  22  30  11
 25  29  10  36  17  48  27  66  42  74  51  83  61  85  62  82  58  71  44  59  36  43  22  29  11
 26  26   8  38  17  47  26  67  42  72  52  83  61  86  63  83  60  73  45  59  34  41  22  29  11
 27  25   7  39  20  51  29  67  43  73  52  84  62  85  62  83  61  72  44  60  35  39  21  30  13
 28  27   7  38  21  53  31  65  41  74  53  84  61  84  62  82  58  72  45  58  34  35  18  31  14
 29  27   8  43  18  51  31  65  41  75  54  85  62  85  61  82  59  71  45  57  33  35  18  31  13
 30  28   8 *** ***  51  31  66  42  76  54  84  62  84  62  83  60  71  44  58  35  37  20  29  12
 31  29   8 *** ***  53  32 *** ***  77  53 *** ***  85  61  81  58 *** ***  55  35 *** ***  29  11
