# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6566] PERRY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6566
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1     8     6     0    15        0     2    28    23     0    53
 1952     3    18    14     2     7    44       11    94    71     6    21   203
 1953     4    10    18    14     5    51       18    40    70    87    43   258
 1954     1    11    26     8     6    52        2    62   159    21    33   277
 1955     3     3    20    20    10    56        3    15   160   169    75   422
 1956     6    18    12    12     7    55       24   115    70    56    26   291
 1957     0     4    21    12     1    38        0    17   146    61     2   226
 1958     1     5     2    18     2    28        2    20     3    65     5    95
 1959     2     9     9    19     3    42        2    29    16    68     8   123
 1960     0     3    10     7     7    27        0     4    32    26    35    97
 1961     0     6     7     9     4    26        0    21    27    25    12    85
 1962     8     5     8    10     1    32       14     9    25    33     3    84
 1963     2    15    14     6     1    38        5    80    44    25     1   155
 1964     5     6    17     6     4    38       14    12    76    23     8   133
 1965     2     0    10    14     0    26        3     0    43    75     0   121
 1966     4     5    17     7     0    33       16    11    90    26     0   143
 1967     6     0    11     8     0    25       40     0    37    11     0    88
 1968     1    12     9    10     0    32        3    31    29    60     0   123
 1969     4     4    14    10     0    32        9    15    66    22     0   112
 1970     3     7    18    11     6    45        6    33    89    35    19   182
 1971     0    17     6     7     8    38        0    85    19    34    29   167
 1972     2     6     9    12     3    32        3    27    39    60    12   141
 1973     0    12     9    10     1    32        0    41    26    21     1    89
 1974     0     6    24     3     0    33        0    32   176    10     0   218
 1975     5     4    20    14     2    45       18    11    85    81     9   204
 1976     1     5    13    11     3    33        1    10    67    34     9   121
 1977     4    11    19     7     0    41       12    58   144    15     0   229
 1978     2     7    11    10    12    42        3    20    43    37    49   152
 1979     2     6     5     9     3    25        5    10    13    43     6    77
 1980     5     5    22    13     5    50        7    25   147    60    19   258
 1981     0     8     8     3     4    23        0    25    47     6     8    86
 1982     0     1    12     5     0    18        0     1    44    25     0    70
 1983     0     7    22    23     8    60        0    30   127   176    37   370
 1984     0     3    11    14     5    33        0    11    52    75    26   164
 1985     0     4    10     6    10    30        0    23    42    23    51   139
 1986     0    11    14     3     2    30        0    34    73     9     3   119
 1987     6    15    17     7     2    47       15    80   112    48     5   260
 1988     6    16    18    19     3    62       32   125   149   223    10   539
 1989     2     3    14     5     1    25        4    13    84    22     3   126
 1990     0     8    12     8    12    40        0    43    71    42    55   211
 1991     5    11    14    13     4    47       18    57   101    42    14   232
 1992     2     7     4     2     0    15        5    15    14     7     0    41
 1993     0     4     3     8     1    16        0     8    11    20     3    42
 1994     2     8     8     8     4    30        5    29    24    35    14   107
 1995     0     9     9    17     1    36        0    34    72    90     2   198
 1996     3     9     5     2     1    20       10    38    16     5     1    70
 1997     1     8    14     8     4    35        4    28   100    35    16   183
 1998     3     4     8     7     9    31       15    23    26    25    31   120
 1999     0     7    18     3     3    31        0    17   116     7    11   151
 2000     2     4     6    10    10    32       13    13    23    38    80   167
 2001     2     9    15    14     3    43        7    31    71    96     4   209
 2002     1    13    22     4     9    49        5    52   121    27    39   244
 2003     1     4     9    11     3    28        2    12    40   103     9   166
 2004     2     3     5     2     3    15        3     6    11     6     4    30
 2005     0    10    15     0     0    25        0    44    82     0     0   126
 **************************************************************************************
MEANS   2.1   7.4  12.7   9.2   3.7  35.0      6.5  31.3  66.7  45.4  15.5 165.4
