# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6719] POCAHONTAS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.85   0.23   65(71)   16(17)   10(11)    1( 1)    0( 0)    0       92
  2 3/8-->3/14       1.58   0.29   56(68)   10(12)   12(15)    4( 5)    0( 0)    0       82
  3 3/15-->3/21      1.44   0.26   55(69)   14(18)    8(10)    3( 4)    0( 0)    0       80
  4 3/22-->3/28      2.15   0.33   57(66)    9(10)   15(17)    4( 5)    1( 1)    0       86
  5 3/29-->4/4       1.60   0.30   64(62)   19(18)   14(13)    7( 7)    0( 0)    0      104
  6 4/5-->4/11       1.88   0.33   52(60)   17(20)   12(14)    5( 6)    0( 0)    0       86
  7 4/12-->4/18      2.25   0.32   66(58)   23(20)   20(18)    4( 4)    1( 1)    0      114
  8 4/19-->4/25      1.68   0.34   74(57)   26(20)   19(15)   10( 8)    0( 0)    0      129
  9 4/26-->5/2       1.97   0.40   61(53)   24(21)   20(17)   11( 9)    0( 0)    0      116
 10 5/3-->5/9        1.62   0.35   66(51)   28(22)   27(21)    8( 6)    0( 0)    0      129
 11 5/10-->5/16      2.78   0.39   69(54)   25(20)   22(17)   10( 8)    1( 1)    0      127
 12 5/17-->5/23      1.30   0.37   59(51)   22(19)   28(24)    7( 6)    0( 0)    0      116
 13 5/24-->5/30      2.21   0.38   79(54)   32(22)   21(14)   14(10)    1( 1)    0      147
 14 5/31-->6/6       2.84   0.34   79(60)   23(17)   20(15)    9( 7)    1( 1)    0      132
 15 6/7-->6/13       5.08   0.45   72(53)   23(17)   26(19)   12( 9)    3( 2)    0      136
 16 6/14-->6/20      3.91   0.47   70(52)   27(20)   19(14)   16(12)    3( 2)    0      135
 17 6/21-->6/27      3.50   0.58   49(44)   21(19)   23(21)   12(11)    7( 6)    0      112
 18 6/28-->7/4       2.38   0.42   61(54)   19(17)   21(19)    9( 8)    3( 3)    0      113
 19 7/5-->7/11       3.90   0.48   65(54)   20(17)   21(17)   10( 8)    5( 4)    0      121
 20 7/12-->7/18      2.43   0.52   48(46)   16(15)   25(24)   15(14)    1( 1)    0      105
 21 7/19-->7/25      2.72   0.44   63(57)   17(15)   14(13)   15(14)    2( 2)    0      111
 22 7/26-->8/1       2.45   0.39   59(61)   10(10)   17(18)    9( 9)    2( 2)    0       97
 23 8/2-->8/8        4.00   0.52   57(53)   22(20)   14(13)    8( 7)    7( 6)    0      108
 24 8/9-->8/15       2.89   0.52   46(52)   13(15)   13(15)   11(13)    5( 6)    0       88
 25 8/16-->8/22      5.50   0.52   49(49)   21(21)   14(14)   14(14)    3( 3)    0      101
 26 8/23-->8/29      3.43   0.45   54(48)   26(23)   20(18)    9( 8)    3( 3)    0      112
 27 8/30-->9/5       6.30   0.41   51(60)   16(19)   10(12)    7( 8)    1( 1)    0       85
 28 9/6-->9/12       2.09   0.42   47(53)   17(19)   14(16)   10(11)    1( 1)    0       89
 29 9/13-->9/19      5.33   0.46   54(49)   26(23)   20(18)    8( 7)    3( 3)    0      111
 30 9/20-->9/26      3.16   0.32   58(56)   28(27)   12(12)    4( 4)    1( 1)    0      103
 31 9/27-->10/3      2.43   0.33   46(59)   13(17)   16(21)    2( 3)    1( 1)    0       78
 32 10/4-->10/10     1.95   0.36   53(60)   11(12)   18(20)    7( 8)    0( 0)    0       89
 33 10/11-->10/17    1.68   0.37   34(52)   14(22)   12(18)    5( 8)    0( 0)    0       65
 34 10/18-->10/24    1.42   0.32   42(55)   20(26)   11(14)    4( 5)    0( 0)    0       77
 35 10/25-->10/31    1.95   0.25   49(67)   13(18)    8(11)    3( 4)    0( 0)    0       73
 36 11/1-->11/7      1.90   0.28   53(71)   10(13)    7( 9)    5( 7)    0( 0)    0       75
 37 11/8-->11/14     1.80   0.27   42(66)   11(17)    9(14)    2( 3)    0( 0)    0       64
 38 11/15-->11/21    1.30   0.34   36(53)   13(19)   17(25)    2( 3)    0( 0)    0       68
 39 11/22-->11/28    1.15   0.21   51(74)    8(12)    9(13)    1( 1)    0( 0)    0       69
 40 11/29-->12/5     2.26   0.20   48(77)    7(11)    6(10)    0( 0)    1( 2)    0       62
 41 12/6-->12/12     0.90   0.17   50(77)    8(12)    7(11)    0( 0)    0( 0)    0       65
 42 12/13-->12/19    1.10   0.21   41(71)   11(19)    5( 9)    1( 2)    0( 0)    0       58
 43 12/20-->12/26    0.63   0.16   48(77)   11(18)    3( 5)    0( 0)    0( 0)    0       62
 44 12/27-->1/2      1.14   0.20   39(72)    8(15)    6(11)    1( 2)    0( 0)    0       54
 45 1/3-->1/9        1.29   0.13   51(86)    5( 8)    2( 3)    1( 2)    0( 0)    0       59
 46 1/10-->1/16      1.16   0.17   40(78)    8(16)    2( 4)    1( 2)    0( 0)    0       51
 47 1/17-->1/23      1.12   0.18   39(75)    7(13)    5(10)    1( 2)    0( 0)    0       52
 48 1/24-->1/30      0.80   0.13   60(86)    7(10)    3( 4)    0( 0)    0( 0)    0       70
 49 1/31-->2/6       0.83   0.14   48(84)    8(14)    1( 2)    0( 0)    0( 0)    0       57
 50 2/7-->2/13       0.77   0.16   41(82)    6(12)    3( 6)    0( 0)    0( 0)    0       50
 51 2/14-->2/20      1.42   0.23   50(75)    9(13)    5( 7)    3( 4)    0( 0)    0       67
 52 2/21-->2/27      0.82   0.18   48(75)   10(16)    6( 9)    0( 0)    0( 0)    0       64
 53 2/28-->2/29      0.86   0.19    5(83)    0( 0)    1(17)    0( 0)    0( 0)    0        6
ANNUAL TOTALS        6.30   0.35 2819(59)  828(17)  693(14)  305( 6)   57( 1)    0     4702
