# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6719] POCAHONTAS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6719   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116           9    28 271          155
   1952   4    24 115           9    23 267          152
   1953   5    13 133           9    22 265          132
   1954   5     8 128           9    22 265          137
   1955   4     7  97          10    15 288          191
   1956   5     4 125           9    30 274          149
   1957   5     4 124          10    10 283          159
   1958   4    29 119          10     1 274          155
   1959   4    21 111          10     9 282          171
   1960   5     8 129          10    16 290          161
   1961   5     2 122           9    28 271          149
   1962   4    19 109           9    20 263          154
   1963   5    22 142          10    29 302          160
   1964   4    13 104          10     9 283          179
   1965   4    28 118          10    13 286          168
   1966   5    10 130          10     1 274          144
   1967   5     6 126           9    28 271          145
   1968   5    15 136          10     4 278          142
   1969   4    28 118          10    14 287          169
   1970   5     2 122          10     9 282          160
   1971   5    12 132           9    24 267          135
   1972   4    25 116           9    30 274          158
   1973   4    28 118          10    16 289          171
   1974   5     6 126           9    22 265          139
   1975   4    21 111           9    25 268          157
   1976   5     8 129          10     6 280          151
   1977   4     8  98          10     3 276          178
   1978   5     7 127          10     8 281          154
   1979   5    12 132          10     5 278          146
   1980   5     9 130           9    26 270          140
   1981   5    19 139          10     2 275          136
   1982   4    26 116          10    15 288          172
   1983   5    15 135           9    20 263          128
   1984   5     9 130           9    26 270          140
   1985   4    15 105           9    24 267          162
   1986   5     2 122          10     6 279          157
   1987   4     7  97          10     3 276          179
   1988   4    27 118          10     4 278          160
   1989   5     7 127           9    23 266          139
   1990   5     3 123          10    10 283          160
   1991   4    11 101           9    19 262          161
   1992   5     6 127           9    29 273          146
   1993   4    20 110           9    28 271          161
   1994   5     2 122          10    12 285          163
   1995   4    28 118           9    22 265          147
   1996   4    30 121          10     3 277          156
   1997   5    15 135          10    15 288          153
   1998   4     6  96          10     8 281          185
   1999   4    19 109           9    21 264          155
   2000   4    13 104           9    21 265          161
   2001   4    24 114          10     6 279          165
   2002   5     2 122           9    24 267          145
   2003   4    11 101          10     1 274          173
   2004   5     3 124          10     2 276          152
             MEAN=119              MEAN=275     MEAN=156
