# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6719] POCAHONTAS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     1   3   6  12  12  12  13  10   8   4   1   0  82
1952     3   0   0   4   8   7   7   7   2   0   3   3  44
1953     4   5  10  11  11   5   8   9   3   5   3   4  78
1954     3   3   9  10   8  11  11  13   8  12   1   3  92
1955     4   4   4   6   6  10   5   4   8   6   3   5  65
1956     5   1   4   6  11   7   9  10   2   6   5   4  70
1957     4   2   6   6  11  10  10  11   9  10   7   6  92
1958     4   3   5  11   8  15  12   6   6   2   3   2  77
1959     3   8   8   7  13   5   6   9  10  10   7   8  94
1960     4   5  11   8  10  11   7  11   9   3   4   4  87
1961     2   6   9  13   8   8  13   9  12   6   5   7  98
1962     3  10   7   8  11  12  15  13   7   8   3   4 101
1963     5   4   5  10   7  10   9   9  10   4   4   4  81
1964     4   3   7  11   9   9   9  10   9   3   5   5  84
1965     2   8   6  13  10   7   7  11  18   1   3   2  88
1966     6   6   4   6   6  10   8   4   5   2   2   4  63
1967     5   3   2   8   7  16   4   7   6   7   3   5  73
1968     2   1   2  10   7  12   8   7  10   8   5   7  79
1969     7   5   3   8  11  10  10   5   4   7   2   6  78
1970     4   1   8   5  10   5   8   6   7   9   6   2  71
1971     1   7   2   5   7   8   8   2   6   7   6   4  63
1972     3   5   6   7  11   9  13  10  12   9   5   6  96
1973     4   2   8  10  11   7  13   6  14   6   8   5  94
1974     3   1   6   8  11   9   7  12   4   5   4   2  72
1975     7   3   7  12  10  14   5   8   4   2  10   2  84
1976     0   3   8   7   8   8   4   2   4   3   0   2  49
1977     2   0  10  12   8   7   8  11  12   6   4   4  84
1978     5   4   5  11   9   7  11   8   5   5   5   8  83
1979     6   5  10   8   7  12  10   0   4   6   6   1  75
1980     8   6   5   4   8   8   0  20   5   5   1   4  74
1981     1   6   3   0   0   0   0   9   0   8   0   0  27
1982     0   0   0   8  17  10  10   8  10   8   7   7  85
1983     0   4  13   0  10  12   7   4   9   9  12   9  89
1984     3   5  11  13  15  14   9   6  10  15   7   9 117
1985     5   3   9   9  12   8   5  12  12   7  10   8 100
1986     3   5   5  14  13  11   8   7  14   8   6   4  98
1987     1   1  12   6  11   5  12  13  11   5  11   5  93
1988     4   5   3   9   6   8   5   7  10   4   9   3  73
1989     5   5   8   5   9   9   7   6   4   4   3   4  69
1990     2   3  13   9   9  15  12  10   5   6   6   9  99
1991     7   4  12  13  15   7  11   8   9  10  14   5 115
1992    10   5   8  10   6   6  17   6  11   3  10  15 107
1993     8   9   8  11  16  17  17  11   9   4   5   9 124
1994    16   4   3   9   9  11  10   9   9   8   7   3  98
1995     3   4  12  14  14  14   6  10  11   8   5   5 106
1996    10   4   7   3  15  10  10  10   9   5  15   7 105
1997     8   4   8  13  12  11   9   8   8   6   7   8 102
1998    10  10  15  12  12  19  11  12   5  13   3   3 125
1999    14  10   5  16  16  15  12   6   4   3   4   7 112
2000     9   6   8   7  12   9   9   6   7  10   8  11 102
2001    12   5   4   8  14   8   7   6   5   3   5   5  82
2002     7   6   7  12  10   8  11  10  11  15   2   3 102
2003    10   8  11  13  13  14  10   7   4   4  11  12 117
2004    13  11  15   6  16  15   9  12   9  10  11   8 135
2005    11  10  12  13  18  18  10   0   0   0   0   0  92
STDDEV   4   3   4   3   3   4   3   4   4   3   3   3  20
AVG      5   5   7   9  10  10   9   8   8   6   5   5  88
