# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6800] PRIMGHAR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia6800
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  25   8  26   7  38  17  52  30  66  41  75  52  84  61  84  61  80  56  71  45  52  33  36  18
  2  27   8  25   6  37  18  53  31  68  42  75  52  84  61  84  62  81  57  71  43  51  31  35  19
  3  25   6  26   7  36  17  52  29  69  43  78  52  84  61  84  62  80  57  69  44  49  30  35  18
  4  23   5  27   9  36  17  51  28  69  44  79  55  85  62  83  61  79  55  67  43  48  28  36  18
  5  25   5  28   9  36  17  54  31  69  45  79  56  84  61  83  61  78  55  68  43  49  28  35  17
  6  23   5  28   9  37  16  56  31  68  44  80  56  85  61  83  61  79  55  66  42  48  28  31  14
  7  21   2  27   9  36  15  57  33  69  44  80  57  86  62  84  60  80  55  66  41  49  28  31  16
  8  24   5  29   9  36  18  54  32  69  45  80  56  85  62  84  61  79  54  66  41  48  27  30  13
  9  21   4  29  10  38  19  53  31  70  45  79  56  84  61  83  60  77  55  64  39  46  27  30  12
 10  22   3  30  12  39  21  55  32  71  46  80  56  84  62  82  60  78  52  65  39  47  26  30  12
 11  23   5  29   9  41  21  56  34  71  46  81  58  85  63  82  58  78  52  66  41  45  26  29  12
 12  25   8  30  11  39  22  56  33  70  45  81  58  85  63  82  59  77  52  67  42  45  25  29  12
 13  26   7  32  12  40  22  57  33  70  45  83  59  86  62  82  60  75  51  65  42  46  27  29  12
 14  27   8  32  13  43  22  59  35  72  48  82  59  85  62  83  59  73  50  66  41  44  25  29  12
 15  24   5  30  12  41  21  62  35  73  48  81  57  84  61  82  60  73  48  64  41  46  26  29  12
 16  24   5  30  11  42  22  61  36  75  49  80  57  86  62  83  60  72  50  63  39  44  25  29  10
 17  24   6  33  13  42  23  63  37  74  50  81  58  86  63  84  60  74  50  63  39  44  26  27  11
 18  25   6  34  16  42  25  62  38  74  50  81  58  86  64  83  60  75  51  60  37  43  25  28  10
 19  25   7  33  14  43  25  63  39  74  49  82  59  86  63  82  59  74  50  61  36  42  24  27  10
 20  24   4  33  16  43  24  63  40  75  49  82  58  84  62  82  59  71  49  61  37  41  24  25   7
 21  25   5  33  13  43  22  63  38  76  51  81  59  85  62  82  59  70  46  62  37  41  23  26   9
 22  27   8  33  14  45  25  62  38  74  51  82  58  84  62  82  59  70  45  62  39  41  22  27  10
 23  25   6  34  17  44  25  64  39  73  51  82  58  84  61  81  60  68  43  60  36  39  22  27   9
 24  26   7  35  15  45  24  64  39  74  50  83  59  85  62  81  59  69  45  59  36  40  20  26   8
 25  24   7  37  15  46  25  67  41  74  51  85  59  85  62  82  59  71  45  59  36  39  21  26   9
 26  22   5  37  17  47  26  66  41  74  51  84  60  85  63  83  60  73  46  59  36  37  20  27   8
 27  23   4  36  19  51  28  66  41  74  51  84  60  84  62  83  60  71  45  60  35  35  18  27  11
 28  24   6  36  18  50  29  64  40  74  51  85  61  84  62  82  60  71  45  57  34  32  15  29  11
 29  25   6  38  14  47  28  65  41  76  53  85  61  85  60  83  60  70  46  56  33  34  18  26   9
 30  26   5 *** ***  51  29  65  41  76  53  84  61  84  62  82  59  71  45  55  34  34  18  25   8
 31  27   6 *** ***  53  30 *** ***  76  53 *** ***  84  61  80  57 *** ***  55  34 *** ***  25   7
