# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6800] PRIMGHAR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia6800
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.16  2.44  4.16  4.25  6.70  4.83  6.97  6.97  4.37  0.00  0.51  1.13 42.49
 1952  1.23  0.92  2.59  1.14  2.93  5.01  3.42  5.82  0.50  0.00  0.45  0.50 24.51
 1953  0.63  1.59  3.59  3.43  1.99  7.86  2.26  4.92  2.00  0.60  1.62  1.45 31.94
 1954  0.25  2.01  2.33  2.51  2.70  6.67  2.37  5.44  2.00  2.89  0.00  0.00 29.17
 1955  0.00  0.00  1.08  5.06  0.65  3.08  2.46  0.98  1.52  1.25  0.23  1.20 17.51
 1956  0.35  0.40  0.70  1.78  2.99  2.10  4.26  3.58  0.45  0.00  2.86  0.30 19.77
 1957  0.46  0.00  0.95  1.26  3.67  5.96  4.59  5.82  2.68  3.13  2.14  0.09 30.75
 1958  0.11  0.69  0.32  2.98  1.27  4.55  1.98  0.86  1.22  0.11  0.66  0.21 14.96
 1959  0.16  1.11  1.44  0.73  8.07  3.51  0.07  6.06  2.85  3.59  1.53  1.50 30.62
 1960  0.57  0.21  1.20  0.00  7.61  2.44  1.72  6.21  3.80  0.87  1.18  0.53 26.34
 1961  0.27  1.24  1.90  1.77  4.07  2.87  4.32  2.31  3.82  1.64  0.50  1.20 25.91
 1962  0.00  2.74  0.00  1.25  3.34  4.14  7.07  5.14  1.83  0.89  0.25  0.20 26.85
 1963  0.73  0.44  1.01  0.84  1.58  3.44  4.42  2.91  2.57  0.69  0.02  0.55 19.20
 1964  0.42  0.13  0.66  3.50  3.61  3.20  3.16  3.48  6.75  0.58  0.80  0.84 27.13
 1965  0.45  1.33  1.58  3.12  5.99  4.14  1.08  1.91  9.81  1.17  0.57  0.33 31.48
 1966  0.73  1.54  2.14  1.43  2.87  4.03  1.56  2.53  1.24  1.60  0.20  1.05 20.92
 1967  0.34  0.27  0.32  1.83  2.74  6.75  0.45  1.88  1.18  0.97  0.32  0.81 17.86
 1968  0.70  0.02  0.41  3.69  3.26  4.00  2.10  2.29  7.03  5.91  0.51  2.15 32.07
 1969  1.22  2.08  1.08  1.34  5.58  3.58  6.57  3.53  0.66  2.32  0.24  1.29 29.49
 1970  0.14  0.01  2.31  0.92  6.26  2.14  1.86  0.73  5.12  4.95  1.22  0.77 26.43
 1971  0.10  1.87  1.17  1.16  2.51  8.76  3.61  0.81  1.33  4.95  2.00  1.10 29.37
 1972  0.12  0.30  0.95  3.04  5.78  2.00  5.16  4.25  2.20  2.51  1.44  2.20 29.95
 1973  1.02  0.66  2.46  1.68  3.05  2.73  5.50  8.96  4.21  1.51  2.53  0.77 35.08
 1974  0.12  0.20  1.37  1.72  2.61  8.13  2.91 10.33  1.19  1.63  0.66  0.54 31.41
 1975  1.91  0.21  1.25  6.46  2.76  6.40  0.19 12.26  2.44  0.31  3.53  0.27 37.99
 1976  0.30  0.55  3.82  2.00  2.29  4.01  2.40  0.84  2.37  0.79  0.07  0.22 19.66
 1977  0.12  0.68  3.93  5.33  3.43  2.97  7.25  3.60  3.43  3.69  2.43  0.56 37.42
 1978  0.38  0.36  0.26  4.38  1.61  3.05  8.85  2.75  1.24  0.61  1.21  0.64 25.34
 1979  1.23  0.50  4.25  2.41  0.00  2.66  4.33  4.96  2.82  4.05  0.00  0.00 27.21
 1980  0.56  0.69  0.82  1.23  3.79  2.56  2.27  8.48  3.36  1.21  0.02  0.13 25.12
 1981  0.10  0.20  1.12  0.75  2.82  5.39  2.72  3.73  1.54  1.89  0.96  0.78 22.00
 1982  1.88  0.31  0.79  1.26  7.46  2.67  7.53  2.27  3.46  5.56  2.07  2.49 37.75
 1983  0.26  0.73  3.86  2.24  3.70 12.18  4.00  2.44  3.48  1.84  4.16  0.21 39.10
 1984  0.94  1.28  1.08  5.83  2.64 11.20  2.28  1.47  0.49  5.41  0.95  1.43 35.00
 1985  0.44  0.05  2.14  7.40  3.81  3.11  0.79  5.12  7.07  1.00  1.76  0.60 33.29
 1986  0.11  0.02  1.73  5.83  4.56  3.62  4.39  3.61  3.53  2.68  0.98  0.06 31.12
 1987  0.19  0.33  4.64  0.62  2.68  2.91  8.09  4.12  2.68  0.65  0.83  0.73 28.47
 1988  0.91  0.57  0.31  2.77  1.64  5.14  4.99  6.17  4.18  0.22  2.35  0.13 29.38
