# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6800] PRIMGHAR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    1    0    0    0
 Sep 18    3    1    0    0
 Sep 20    5    1    0    0
 Sep 22   14    5    1    0
 Sep 24   20    5    1    0
 Sep 26   25    9    3    0
 Sep 28   33   11    5    0
 Sep 30   42   22    7    0
 Oct 02   51   25   11    1
 Oct 04   62   33   12    1
 Oct 06   72   40   22    3
 Oct 08   79   44   25    5
 Oct 10   79   51   35    9
 Oct 12   85   59   44   12
 Oct 14   85   62   48   12
 Oct 16   92   70   53   16
 Oct 18   92   77   59   22
 Oct 20   94   83   64   27
 Oct 22   96   85   68   33
 Oct 24   96   92   77   44
 Oct 26   98   94   85   50
 Oct 28  100   96   90   55
 Oct 30  100   98   94   61
 Nov 01  100   98   98   68
 Nov 03  100  100  100   72
 Nov 05  100  100  100   81
 Nov 07  100  100  100   81
 Nov 09  100  100  100   88
 Nov 11  100  100  100   94
 Nov 13  100  100  100   96
 Nov 15  100  100  100   96
 Nov 17  100  100  100   96
 Nov 19  100  100  100  100
 Nov 21  100  100  100  100
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
