# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6940] RED-OAK
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia6940
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  55 -15  60 -23  79 -20  91  19  92  28  95  37 102  46 102  51  99  43  94  26  76  19  65   0
  2  56 -15  67 -22  76  -4  88  13  92  27  93  40 100  47 104  49  97  42  93  26  78  10  67  -2
  3  58 -15  57 -28  80   1  87   2  89  26  95  35 100  47 100  46  99  33  90  24  78   7  62  -4
  4  56 -16  56 -24  72 -15  80  19  92  30  95  40 102  47 103  42  98  39  93  26  76  -1  65   4
  5  60 -21  60 -17  73 -21  85  18  94  31  98  43  99  42  97  46  96  38  93  24  74  10  68  -1
  6  49 -22  63 -20  76 -12  91   8  91  30  97  40 103  50  98  50  98  38  92  23  80   9  69  -6
  7  48 -20  65 -13  75  -4  87  16  95  27  97  42 101  50 103  46  99  38  90  20  77  -3  59  -8
  8  64 -15  62 -25  79  -3  85  21  92  29 103  43 101  52  98  48 100  35  86  22  78  -3  61 -12
  9  66 -18  61 -23  77  -3  88  18  92  29  98  45 101  50 101  47 101  42  89  20  79  16  57  -8
 10  57 -26  61 -11  74  -2  88  20  92  33  97  40 101  49 100  46  95  34  91  20  75  12  59 -12
 11  59 -18  73 -23  84  -2  92  25  92  28  99  45 104  52 100  42  95  38  85  15  76  -5  64  -6
 12  59 -27  72 -17  76 -19  87  17  97  33  98  42 104  49 101  44  98  36  90  23  70   0  63 -11
 13  62 -15  62  -9  74 -17  81  17  90  28 100  42 108  41  99  42  93  34  89  18  72  -3  60 -16
 14  58 -17  70  -7  77   0  87  22  93  34 100  46 104  47 104  50  99  36  87  22  82   1  58 -17
 15  59 -18  63  -8  74   8  90  20  89  31 100  41 100  50 106  48  96  32  86  23  72  13  55 -15
 16  63 -23  65 -21  80  11  90  25  91  36  98  42 104  52 104  52  95  35  84  22  76   4  64 -13
 17  58 -21  67 -21  79  10  87  24  91  34  98  44 107  53 105  49  95  30  82  14  73   2  59 -11
 18  64 -16  64 -18  76   5  92  19  95  35 103  48 104  52 103  47  95  30  83  22  71  10  66 -18
 19  53 -15  67 -10  75   5  90  25  93  38 104  41 106  52 101  46  94  29  84  13  72   9  59 -21
 20  59 -18  65  -2  72   8  88  23  93  36 104  44 107  51 101  45  93  33  90  18  67   4  57 -19
 21  58 -17  71  -5  73   4  92  23  92  34 104  43 109  49 100  46  93  32  87  18  72   4  57 -19
 22  59  -8  70 -12  86  11  93  23  92  30 104  45 102  53 101  48  90  28  86  16  71   4  59 -21
 23  63 -19  65 -15  79  10  89  24  92  32 102  48  98  52 100  43  83  27  85  15  66   7  67 -26
 24  67 -11  69  -6  84   6  92  18  99  37 102  45  97  53 101  47  90  30  80  20  64   7  55 -22
 25  67  -5  74  -3  82   6  92  29  97  39 103  46 101  46 101  44  89  32  80  20  68   1  53 -17
 26  61 -14  70 -11  84   1  94  28  93  38  99  48 105  49 102  45  91  28  80  15  71   3  60 -15
 27  67 -16  69  -7  80  10  93  29  94  34 103  46 103  50 102  44  93  35  79  13  64  -1  62 -12
 28  61 -16  76 -18  86   7  91  26  90  34 100  49 102  50 102  34 102  28  85  13  69  -6  67  -6
 29  61 -20  78  -5  91   8  94  24  96  39 101  47 102  51  99  43  93  23  81  13  63  -6  61  -7
 30  61 -16 *** ***  89   5  90  30  93  38 101  51 105  39  98  49  96  26  78  20  70 -14  62 -13
 31  69 -23 *** ***  84  10 *** ***  95  38 *** *** 106  44  98  42 *** ***  81  14 *** ***  62 -17
