# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6940] RED-OAK
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia6940
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  31  14  34  13  45  21  57  34  69  44  78  53  87  63  87  63  84  59  75  46  57  36  42  24
  2  32  13  32  11  44  23  59  34  71  44  79  53  87  64  88  64  84  60  74  46  55  34  42  24
  3  30  10  31  11  42  23  57  34  70  46  80  54  87  64  86  64  84  59  72  46  54  33  43  23
  4  29  10  34  13  42  22  57  33  72  47  80  56  87  64  87  63  83  58  70  44  52  31  42  22
  5  30  10  33  14  42  22  58  33  73  48  82  57  87  63  86  63  82  56  70  45  53  31  42  23
  6  29  11  33  14  44  21  63  34  71  48  82  58  87  63  86  63  83  57  68  44  52  31  37  19
  7  28   7  33  13  43  21  63  36  72  47  83  59  89  64  86  62  83  58  69  42  53  30  37  19
  8  29  10  34  15  45  23  60  37  73  47  83  58  88  65  87  62  83  58  69  42  52  30  36  18
  9  29  10  35  13  46  23  60  34  73  48  82  58  88  63  86  63  81  56  67  41  51  31  36  16
 10  28   8  37  16  47  26  61  36  73  48  82  58  88  63  86  62  81  54  68  40  51  28  38  17
 11  30  11  35  14  47  27  62  38  74  49  83  60  88  65  85  60  80  53  69  43  51  29  36  18
 12  31  12  35  16  47  26  60  37  74  47  84  60  88  65  85  60  80  54  69  43  50  29  35  17
 13  33  11  38  17  47  27  61  36  74  48  85  60  89  65  86  61  79  53  69  43  51  30  36  15
 14  31  14  37  18  48  26  63  38  74  50  84  61  89  65  85  61  76  53  69  43  50  29  35  16
 15  31  11  36  17  47  26  64  37  76  49  83  59  88  63  85  62  76  51  68  42  51  30  34  16
 16  31  11  38  15  49  26  66  40  75  52  84  59  88  64  87  62  75  51  68  41  51  29  36  15
 17  32  12  40  16  49  28  66  40  77  52  84  60  89  65  87  63  77  52  66  41  50  29  33  15
 18  32  13  40  21  49  29  66  41  77  53  85  61  90  66  86  62  78  53  63  39  49  29  34  14
 19  32  11  39  19  49  29  67  42  77  52  86  61  89  67  86  61  77  52  63  37  49  28  34  16
 20  30  10  41  20  50  29  66  43  78  51  85  62  88  65  84  61  75  51  64  38  47  26  32  15
 21  32  12  40  19  50  26  67  42  77  52  84  60  87  64  85  61  74  49  65  39  47  25  32  14
 22  34  13  40  19  53  28  67  42  76  54  85  60  87  64  86  61  73  47  66  41  47  25  33  15
 23  33  13  40  21  53  30  68  42  76  52  84  60  87  63  84  61  71  46  62  40  45  25  32  14
 24  33  12  40  19  51  29  69  42  77  52  85  61  88  64  84  61  72  47  62  38  45  24  33  13
 25  31  13  42  20  51  29  70  44  77  53  87  62  88  64  86  61  74  47  61  37  45  24  33  13
 26  30  11  44  22  54  30  70  45  76  54  86  62  88  64  87  61  75  46  62  37  43  25  34  14
 27  30  10  43  23  58  31  68  45  77  53  87  62  88  64  86  62  75  46  61  37  40  22  34  16
 28  32  11  43  22  57  34  68  43  78  54  88  63  88  64  86  60  74  47  60  35  39  19  34  17
 29  33  12  47  19  53  33  68  44  78  54  88  64  88  63  87  61  74  48  60  36  40  21  34  15
 30  33  11 *** ***  56  32  68  44  79  55  86  63  88  64  85  62  75  46  59  37  41  21  32  12
 31  35  12 *** ***  59  34 *** ***  78  55 *** ***  88  63  84  60 *** ***  58  37 *** ***  32  13
