# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6940] RED-OAK
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6940   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    19 109           9    28 271          162
   1952   4    15 106          10     6 280          174
   1953   4    20 110          10    27 300          190
   1954   4     8  98          10    30 303          205
   1955   4     7  97          10    15 288          191
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    26 299          180
   1959   4    22 112          11     5 309          197
   1960   4    10 101          10    20 294          193
   1961   5     2 122          10    20 293          171
   1962   4    16 106          10    24 297          191
   1963   4     4  94          10    29 302          208
   1964   4     9 100          10     9 283          183
   1965   4    28 118          10    24 297          179
   1966   5     1 121          10    16 289          168
   1967   5     2 122          10    11 284          162
   1968   4     5  96          10     4 278          182
   1969   4     6  96          10    14 287          191
   1970   5     2 122          10    15 288          166
   1971   4     7  97          10    31 304          207
   1972   4     8  99          10    19 293          194
   1973   4    13 103          10    29 302          199
   1974   4    15 105          10     1 274          169
   1975   4    20 110          10    16 289          179
   1976   5     7 128          10     6 280          152
   1977   4    26 116          10    16 289          173
   1978   5     2 122          10     7 280          158
   1979   4    28 118          10     5 278          160
   1980   4    15 106          10     3 277          171
   1981   5    11 131          10     2 275          144
   1982   4    22 112          10    21 294          182
   1983   4    18 108           9    23 266          158
   1984   4     6  97           9    26 270          173
   1985   4     9  99          10     1 274          175
   1986   4    22 112          10    13 286          174
   1987   4    12 102          10     3 276          174
   1988   4    19 110          10     5 279          169
   1989   4    19 109          10    20 293          184
   1990   4    17 107          10    10 283          176
   1991   4    10 100          10     6 279          179
   1992   4    22 113          10    11 285          172
   1993   4     9  99          10    10 283          184
   1994   4     7  97          10    25 298          201
   1995   4    13 103           9    22 265          162
   1996   4    23 114          11     1 306          192
   1997   5    13 133          10    27 300          167
   1998   4    18 108          11     6 310          202
   1999   4    19 109          10     4 277          168
   2000   4    13 104          10     7 281          177
   2001   4     2  92          10    27 300          208
   2002   4     5  95          10    20 293          198
   2003   4    10 100          11     5 309          209
   2004   4    14 105          10     2 276          171
             MEAN=107              MEAN=288     MEAN=181
