# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7147] ROCK-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.20   0.24   58(70)   15(18)    6( 7)    4( 5)    0( 0)    0       83
  2 3/8-->3/14       1.28   0.24   57(71)   11(14)   10(13)    2( 3)    0( 0)    0       80
  3 3/15-->3/21      1.43   0.23   51(63)   22(27)    7( 9)    1( 1)    0( 0)    0       81
  4 3/22-->3/28      1.75   0.30   49(61)   16(20)   12(15)    3( 4)    0( 0)    0       80
  5 3/29-->4/4       2.93   0.32   51(58)   21(24)   11(13)    4( 5)    1( 1)    0       88
  6 4/5-->4/11       1.69   0.29   64(69)   13(14)   10(11)    6( 6)    0( 0)    0       93
  7 4/12-->4/18      1.55   0.28   64(62)   23(22)   11(11)    5( 5)    0( 0)    0      103
  8 4/19-->4/25      3.60   0.34   61(56)   26(24)   16(15)    4( 4)    1( 1)    0      108
  9 4/26-->5/2       2.14   0.33   74(57)   27(21)   22(17)    6( 5)    1( 1)    0      130
 10 5/3-->5/9        1.73   0.36   54(49)   34(31)   13(12)    9( 8)    0( 0)    0      110
 11 5/10-->5/16      1.96   0.30   76(62)   23(19)   18(15)    5( 4)    0( 0)    0      122
 12 5/17-->5/23      2.53   0.33   76(59)   27(21)   18(14)    7( 5)    1( 1)    0      129
 13 5/24-->5/30      3.44   0.35   73(57)   25(20)   21(17)    7( 6)    1( 1)    0      127
 14 5/31-->6/6       1.86   0.36   71(57)   24(19)   20(16)   10( 8)    0( 0)    0      125
 15 6/7-->6/13       3.56   0.40   73(55)   31(23)   16(12)   10( 8)    3( 2)    0      133
 16 6/14-->6/20      3.20   0.54   67(49)   21(15)   23(17)   23(17)    4( 3)    0      138
 17 6/21-->6/27      3.12   0.46   57(50)   26(23)   18(16)   10( 9)    4( 3)    0      115
 18 6/28-->7/4       1.89   0.45   49(48)   21(21)   19(19)   13(13)    0( 0)    0      102
 19 7/5-->7/11       3.85   0.46   62(55)   19(17)   18(16)    9( 8)    4( 4)    0      112
 20 7/12-->7/18      2.71   0.37   55(58)   15(16)   16(17)    7( 7)    2( 2)    0       95
 21 7/19-->7/25      3.58   0.44   63(59)   12(11)   20(19)    7( 7)    4( 4)    0      106
 22 7/26-->8/1       1.93   0.33   49(57)   17(20)   15(17)    5( 6)    0( 0)    0       86
 23 8/2-->8/8        4.01   0.41   54(56)   14(14)   19(20)    9( 9)    1( 1)    0       97
 24 8/9-->8/15       3.17   0.46   37(48)   14(18)   17(22)    7( 9)    2( 3)    0       77
 25 8/16-->8/22      4.15   0.47   68(62)   13(12)   15(14)    7( 6)    6( 6)    0      109
 26 8/23-->8/29      3.50   0.42   64(58)   17(15)   18(16)    7( 6)    5( 5)    0      111
 27 8/30-->9/5       2.39   0.41   46(55)   15(18)   13(15)    8(10)    2( 2)    0       84
 28 9/6-->9/12       3.01   0.47   44(56)   12(15)   13(16)    8(10)    2( 3)    0       79
 29 9/13-->9/19      3.74   0.41   54(51)   22(21)   19(18)    9( 9)    1( 1)    0      105
 30 9/20-->9/26      1.45   0.29   53(58)   23(25)   11(12)    4( 4)    0( 0)    0       91
 31 9/27-->10/3      2.34   0.41   42(57)   13(18)   10(14)    7( 9)    2( 3)    0       74
