# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7147] ROCK-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia7147   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10    23 296          183
   1952   4    15 106          10     5 279          173
   1953   4    20 110          10    28 301          191
   1954   5     3 123          10    31 304          181
   1955   3    28  87          10    15 288          201
   1956   4    30 121          10     9 283          162
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    29 302          183
   1959   4    22 112          10    12 285          173
   1960   4    30 121          10    19 293          172
   1961   5     2 122          10     1 274          152
   1962   4    15 105          10    24 297          192
   1963   4    13 103          10    29 302          199
   1964   4     8  99          10     9 283          184
   1965   3    30  89          10    24 297          208
   1966   5     1 121          10    16 289          168
   1967   5     4 124           9    28 271          147
   1968   5     5 126          10     4 278          152
   1969   4     5  95          10    14 287          192
   1970   4     4  94          10    10 283          189
   1971   4    14 104          10    31 304          200
   1972   4     8  99          10    15 289          190
   1973   4    12 102          10    29 302          200
   1974   4     5  95           9    22 265          170
   1975   4     5  95          10    29 302          207
   1976   4     4  95          10     6 280          185
   1977   4     6  96          10    16 289          193
   1978   4    21 111          10    16 289          178
   1979   4    28 118          10    13 286          168
   1980   4    14 105          10    12 286          181
   1981   4    14 104          10     2 275          171
   1982   4    22 112          10    20 293          181
   1983   4    16 106           9    23 266          160
   1984   3    26  86           9    26 270          184
   1985   4     9  99          10    10 283          184
   1986   4    22 112          10    13 286          174
   1987   4     6  96          10     3 276          180
   1988   4    20 111          10     5 279          168
   1989   4    18 108          10     7 280          172
   1990   4    18 108          10    10 283          175
   1991   4    11 101          10     7 280          179
   1992   4    27 118          10    17 291          173
   1993   4     6  96          10    10 283          187
   1994   4    29 119          10    26 299          180
   1995   4     5  95          11     2 306          211
   1996   4    23 114          10    28 302          188
   1997   5    13 133          10    21 294          161
   1998   3    24  83          11     4 308          225
   1999   4    19 109          10     2 275          166
   2000   4     9 100          10     7 281          181
   2001   4    18 108          10     6 279          171
   2002   4    10 100          10    20 293          193
   2003   4    10 100          10     2 275          175
   2004   4    14 105          10    31 305          200
             MEAN=106              MEAN=287     MEAN=181
