# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7147] ROCK-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   6  11  11  13  11  11  10   9   7   5   9 105
1952     5   4   8   4  10  11   6  10   2   0   3   3  66
1953     4   4   9  11  10   6  10   9   5   3   3   4  78
1954     2   5  10   5   7  11   9   6   8  10   2   1  76
1955     4   5   5   7   5  10   8   6   5   5   4   5  69
1956     8   4   3   7   7  11   9  10   2   3   6   1  71
1957     3   2   7   5   9  12   9  12   9  10   5   2  85
1958     1   3   5   9   7   8   9   6   2   1   4   3  58
1959     2   5   4   5  16   8   3  12  11   9   7   9  91
1960     2   2  13  10  11   7   3   8   7   1   3   6  73
1961     1   4   6   8  10  10   8   9   8   5   4   4  77
1962     4  10   7   8  13   9  15   8   6   4   3   2  89
1963     5   5   6   6   4  11   7   4   7   6   1   4  66
1964     2   1   7  11   5   9   9  11   9   4   2   4  74
1965     3   5   8  17  14   8   9   9  13   4   6   2  98
1966     8   5   2   8   6  13   8   9   7   4   2   3  75
1967     6   7   3   7   8  16   7   7   3   6   1   3  74
1968     6   1   3  11   7  11  10   7  13   7   4   8  88
1969    10   4   2   3  11  11   0   4   4   5   3   5  62
1970     7   1   9   8  10   9  10   3   8  10   7   2  84
1971     2   4   2   4   6   9   7   2   6   9   8   7  66
1972     3   6   4   8  11  10  14   9   7   8   4   5  89
1973     6   4   9   6   9   6   8   7  14   5   0   8  82
1974     2   4   9   5  15   5  10   0   3   3   4   1  61
1975     7   3  10  12  10  14   4  14   4   2   8   2  90
1976     2   4   8   8   5   3   5   3   5   4   1   0  48
1977     1   3   8   7  10   6   8   9  12   7   6   7  84
1978     7   0   4  12   9   8  11   8   3   4   5   5  76
1979     9   5   8  10  10  13   9  16   4   4   7   2  97
1980     1   2   6   4   5   7   6  12   7   4   1   4  59
1981     0   4   3   6   7  10   9  11   3   8   3   5  69
1982    10   0   7   9  17   7   6   7  10   7   6   4  90
1983     4   5  13   9   7  13   8   4   9   5  10   7  94
1984     3   4   8  13  12  14   6   6   7  13   4   3  93
1985     4   1   9  10  10   6   9  10  11   5   7   5  87
1986     2   0   5  11  12   9  11  10  11   8   5   1  85
1987     4   2   8   6  10   6  11   9   6   3   6   5  76
1988     3   2   4   9   7   6   6   6   8   1   6   4  62
1989     2   6   7  10   8   4   7   6   6   1   5   3  65
1990     2   2   6   6  12  11  10   7   5   7   5   5  78
1991     4   3   7   8  10   9   6   9   9   4   5   1  75
1992     4   5   8   6   6  10  12   9   7   5   7   7  86
1993     4   7   4   8  11  14  11  11   5   3   5   5  88
1994     9   5   0   7   8   9   9   5   5   6   4   5  72
1995     0   3  10  12  14   7   9   6   7  10   5   3  86
1996     7   1   5   3  18  10   5   8   6   5   9   9  86
1997     9   4   4  10  11  10  10   9   9   5   4   5  90
1998     7   6  10  10   6  14  10  13   4   9   3   5  97
1999     6   2   5  11  13  13   8   5   4   3   1   3  74
2000     5   5   6   8  15  11   8   7   3   7   8   9  92
2001     7   5   3  10  11   9   9   3   6   2   5   1  71
2002     5   2   7  11  10  11   6  12  11  16   3   6 100
2003    12   7   7   9  20  14   8   8   9   5   4  10 113
2004    10  10  11   7  17  11  11   8  11  11   7   4 118
2005    13   8   8  12  19  18   9   0   0   0   0   0  87
STDDEV   3   2   3   3   4   3   3   3   3   3   2   2  14
AVG      5   4   7   8  10  10   8   8   7   6   4   4  81
