# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7161] ROCKWELL-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia7161
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      3     31     57    215    175     14     17      0      0
 1952      0      0      0     10     40    272    277    150     86      0      0      0
 1953      0      0      0      2     53    251    286    225     78     27      0      0
 1954      0      0      0     11     25    255    367    189     93      6      0      0
 1955      0      0      0      8     56    116    445    377    119      7      0      0
 1956      0      0      0      5     79    319    234    273     78     16      0      0
 1957      0      0      0      6     19    125    396    237     21      0      0      0
 1958      0      0      0      5     61     88    166    289     75     20      0      0
 1959      0      0      0      1     63    215    243    380    100      0      0      0
 1960      0      0      0     19     21    102    242    251    116      9      0      0
 1961      0      0      0      0     27    147    239    222     72      9      0      0
 1962      0      0      0     12    113    147    208    192     37     28      0      0
 1963      0      0      1     10     44    287    319    213     83     56      0      0
 1964      0      0      0      1    116    184    382    166     90      1      0      0
 1965      0      0      0      4    102    166    306    225     20      9      0      0
 1966      0      0      0      4     37    168    380    150     51     10      0      0
 1967      0      0      5     16     75    134    229    175     16     13      0      0
 1968      0      0      0      1     15    235    256    222     32     25      0      0
 1969      0      0      0      0     80     92    298    232     44     18      0      0
 1970      0      0      0     21    106    236    310    227    121     15      0      0
 1971      0      0      0      5     21    345    230    230    134     18      0      0
 1972      0      0      0      0     69    166    234    214     80      0      0      0
 1973      0      0      0      0     24    232    287    261     39     15      0      0
 1974      0      0      0      8     26    145    411    116     33      0      0      0
 1975      0      0      0      0     82    171    324    291     44     23      0      0
 1976      0      0      0     18     29    172    321    229     93     17      0      0
 1977      0      0      0     28    109    217    352    135     52      0      0      0
 1978      0      0      3      0     55    187    238    211    174      1      0      0
 1979      0      0      0      0     43    184    255    244     85      5      0      0
 1980      0      0      0     25     78    188    360    252    108     13      0      0
 1981      0      0      0     15     30    214    289    166     82      0      0      0
 1982      0      0      0      0     23     70    293    197     58      3      0      0
 1983      0      0      0      0     13    164    372    407    131     10      0      0
 1984      0      0      0      2     18    190    243    286     94      3      0      0
 1985      0      0      0     43     61    138    241    131    134      0      0      0
 1986      0      0      5      1     32    203    312     99     86      0      0      0
 1987      0      0      0     30    124    290    363    180     44      0      0      0
 1988      0      0      0      1    114    334    329    356     82      0      0      0
 1989      0      0      2     28     42    148    320    233     68      6      0      0
 1990      0      0      0     25     14    231    241    237    152     10      0      0
 1991      0      0      2     18    132    269    285    233    106      1      0      0
 1992      0      0      0      5     61    153    118     94     55      6      0      0
 1993      0      0      0      0     22    131    232    216     17     17      0      0
 1994      0      0      0     23     75    224    192    158    101      3      0      0
 1995      0      0      0      0      5    179    278    319     41     12      0      0
 1996      0      0      0      0     36    171    172    132     46      9      0      0
 1997      0      0      0      0      5    175    270    161     85     58      0      0
 1998      0      0      0      0     64    128    271    237    137      0      0      0
 1999      0      0      0      0     17    142    335    153     50      3      0      0
 2000      0      0      1      0     50    117    225    214    111      7      0      0
 2001      0      0      0     14     39    143    284    214     24      5      0      0
 2002      0      0      0     11     32    220    334    158     82      6      0      0
 2003      0      0      0     16      8    110    205    241     41      8      0      0
 2004      0      0      0      1     34     90    165     95     93      0      0      0
 2005      0      0      0      3     14    183    281      0      0      0      0      0
 MEAN      0      0      0      8     50    182    281    216     76     10      0      0
