# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7312] SAC-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia7312
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  55 -21  56 -26  58 -19  85  12  90  26  92  39 100  47 105  47 100  40  91  26  77  14  62   1
  2  53 -14  53 -26  69  -6  85  17  92  24  92  39  96  48 100  51  97  45  95  18  78   6  67  -4
  3  51 -14  57 -26  70  -2  84   4  91  26  95  32  98  48 103  51 100  32  91  28  76   6  60 -11
  4  48 -17  51 -24  70 -13  77  15  93  29  97  39  98  46 100  48  97  38  91  27  74  -3  56  -4
  5  56 -23  55 -26  70 -16  77  10  90  31  97  41  97  45 100  47  96  40  94  27  71  -3  63  -5
  6  45 -19  52 -20  70  -9  87  13  90  30  95  44 100  51  98  48  96  40  94  25  72   4  62 -14
  7  45 -18  52 -14  73  -9  89  14  91  29  92  43 100  47  98  45  95  38  89  23  77 -11  49 -20
  8  58 -18  65 -17  76  -9  86  14  94  27  93  38  95  49  99  49  94  38  85  23  74 -11  60 -23
  9  58 -26  60 -28  66  -8  86  13  88  28 102  44  98  51  94  47  99  38  83  22  78   5  51 -13
 10  49 -24  60 -20  72  -2  85  14  91  31  99  45  99  48  98  46  92  40  85  24  72  12  52 -10
 11  51 -18  65 -23  63  -5  85  20  92  30  99  44 105  52  96  45  93  38  87  20  72  -6  60 -11
 12  53 -29  60 -28  67 -11  84  15  88  29 100  43 100  50  97  45  91  38  90  21  70  -5  60 -17
 13  54 -28  63 -11  73 -11  84  21  87  28 100  42 105  51 100  45  92  34  90  25  68  -3  54 -15
 14  57 -25  62 -14  70 -12  88  21  92  31  99  45 100  51  97  47  95  36  90  24  75 -10  50 -17
 15  51 -22  56 -11  73   0  88  20  92  33  99  42  98  51  99  44 101  34  90  24  72   7  56 -17
 16  54 -22  55 -20  77   2  91  22  92  33  97  42  97  50 102  45  99  34  83  26  76  -2  60 -11
 17  51 -18  62 -22  73   0  83  22  91  36  92  45  98  49 102  48  97  33  85  15  73  -4  53 -18
 18  54 -21  65 -15  72   0  87  21  95  36 100  46 100  52 102  41  94  35  82  24  70   5  59 -26
 19  47 -22  62 -14  75  -1  91  20  89  35  99  43 100  53 100  46  90  31  86  13  70   5  51 -23
 20  49 -22  64  -8  71   2  90  20  93  36  99  44  96  50 100  47  95  30  88  16  64   8  54 -26
 21  51 -26  63 -10  72  -3  88  24  93  36  98  43 100  49 101  50  90  30  83  24  68  -3  52 -23
 22  49 -13  61  -8  66   6  93  25  91  31 102  43 100  50  97  51  86  27  81  15  65   5  50 -25
 23  53 -21  66 -14  79   1  96  25  90  36  95  48  99  50  97  45  82  29  81  19  64   5  53 -26
 24  56 -18  64 -20  83  -3  86  24  95  37 100  47  95  52  97  44  92  31  83  21  58   1  48 -27
 25  63 -15  62 -20  75   6  88  30 101  36 102  42  99  52 102  47  92  30  82  20  73  -1  51 -24
 26  58 -13  63 -10  78   0  88  28  94  38 100  47 103  48 104  48  95  29  85  23  58  -5  53 -20
 27  68 -16  59 -11  79   6  90  30  90  35  98  44 105  48 107  45  93  29  81  18  63  -2  53 -11
 28  53 -16  54 -18  79   8  90  28  90  35  98  49 103  51 103  39  95  28  82  18  69  -2  55 -10
 29  48 -25  67  -6  85   0  90  24  91  40 100  49 104  50 101  39  88  29  72  19  59  -2  57  -9
 30  53 -17 *** ***  88   2  90  26  91  42  97  50 109  44 102  44  92  29  77  17  67  -8  55 -15
 31  50 -20 *** ***  83  11 *** ***  92  40 *** *** 109  48  98  42 *** ***  79   9 *** ***  55 -19
