# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7312] SAC-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia7312
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  27  11  28   9  38  18  53  31  66  41  75  52  84  61  85  61  80  57  72  44  54  34  37  21
  2  27  10  26   6  39  20  53  31  69  42  76  52  84  61  84  61  80  57  72  44  51  32  37  21
  3  26   8  28   7  37  18  54  30  68  43  77  51  84  60  84  61  81  57  70  44  50  30  37  20
  4  25   7  29  10  36  18  53  30  69  45  78  53  84  62  84  61  79  56  67  43  49  29  37  19
  5  25   6  29  10  37  19  53  29  70  46  79  55  84  62  83  61  79  54  67  42  50  29  36  18
  6  26   7  28  10  38  17  57  31  68  43  79  56  85  61  82  61  79  54  66  42  49  29  33  15
  7  24   5  29   9  37  16  58  33  68  43  80  57  86  61  83  61  81  56  65  40  49  28  31  16
  8  25   4  30  10  37  18  56  33  69  44  80  56  85  63  84  61  80  54  66  41  49  28  31  16
  9  23   5  30  10  39  20  53  32  70  45  79  56  85  62  83  60  77  54  64  40  47  28  31  13
 10  23   4  31  13  40  21  56  33  71  45  80  57  85  62  84  59  78  51  65  39  49  28  33  14
 11  25   7  30  11  41  23  58  35  70  46  79  57  85  62  82  58  78  52  65  40  46  26  32  13
 12  25   9  30  11  42  23  55  35  71  45  81  57  85  64  83  59  76  52  67  41  45  26  31  12
 13  27   8  32  11  42  23  57  33  71  45  83  58  85  63  83  60  76  52  66  42  46  27  31  12
 14  28   9  34  14  43  23  59  36  71  46  82  58  85  63  83  60  73  51  66  41  45  26  30  13
 15  26   7  31  13  42  22  61  36  73  47  81  58  84  62  82  59  72  49  65  41  47  27  30  12
 16  25   5  31  11  43  23  60  37  72  48  80  57  86  62  83  59  71  49  64  39  46  26  31  12
 17  27   8  34  13  44  24  61  37  75  50  81  58  86  63  84  60  72  49  63  39  46  26  29  13
 18  26   9  34  16  43  26  62  37  74  50  81  59  87  64  83  60  75  51  61  37  44  26  30  11
 19  26   7  34  14  43  26  64  39  73  49  82  59  86  65  82  60  74  51  60  36  45  25  29  12
 20  25   6  35  15  44  25  63  40  76  49  82  59  85  64  82  59  72  49  60  36  42  25  27  10
 21  25   7  35  15  45  23  63  40  76  50  82  58  85  62  81  59  70  47  62  38  41  23  27   9
 22  28   9  36  15  46  24  63  38  74  50  82  58  85  62  83  59  70  45  62  38  42  22  29  11
 23  27   8  36  18  47  26  63  39  74  50  82  58  85  62  82  60  67  44  59  37  41  23  27  12
 24  28   8  35  15  47  26  64  39  74  50  83  58  85  62  81  59  69  45  59  37  40  22  28  10
 25  27   8  36  16  46  26  67  40  73  50  84  60  86  62  83  59  71  45  59  36  41  22  27  10
 26  23   6  37  18  47  27  67  41  72  51  83  60  85  62  83  60  72  45  59  36  38  22  28  10
 27  24   5  37  20  52  28  66  42  72  51  85  60  84  62  83  61  71  44  59  36  37  20  29  12
 28  25   6  37  19  53  29  64  40  74  52  85  61  84  62  82  59  72  45  57  33  35  17  29  13
 29  27   6  41  17  49  30  65  41  74  53  85  62  85  61  82  59  70  45  57  34  35  18  29  12
 30  26   6 *** ***  52  30  66  42  76  53  83  61  84  61  82  60  70  45  57  35  36  18  26   9
 31  28   7 *** ***  52  31 *** ***  76  53 *** ***  85  61  80  57 *** ***  54  35 *** ***  27  10
