# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7312] SAC-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7312
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     4    13     6     1    24        0     5    57    28     2    92
 1952     4    15    19     7    12    57       18   121   109    26    55   329
 1953     2    17    18    18    11    66        9   113   115   146    75   458
 1954     2    14    22    10     6    54        5    86   187    39    32   349
 1955     6     7    27    26    12    78       22    21   270   307    94   714
 1956     5    20    15    16     7    63       15   151    78    96    40   380
 1957     0     5    21    12     1    39        0    16   135    58     3   212
 1958     2     4     3    20     5    34        7    20     5    98    11   141
 1959     2    14    14    20     5    55        4    55    48   161    24   292
 1960     0     3    13    12     7    35        0     6    65    44    48   163
 1961     1     8    11    14     4    38        1    36    44    47     9   137
 1962     4     6    10    11     1    32        4    14    34    38     3    93
 1963     2    17    18    11     2    50       10    75    81    45     6   217
 1964     8     9    23     7     4    51       24    31   164    40    14   273
 1965     2     5    13    15     0    35        5    11    64    94     0   174
 1966     3    10    20    10     1    44       14    28   126    43     3   214
 1967     5     1    13     6     0    25       43     5    52    11     0   111
 1968     1    15     9    13     0    38        4    62    41    91     0   198
 1969     2     2    11    15     0    30        8     9    64    52     0   133
 1970     8    15    19    15     7    64       22    70    95    69    32   288
 1971     1    20    10    16     7    54        1   118    43    72    30   264
 1972     5     7    10    13     3    38        8    34    38    72     7   159
 1973     0    13    12    11     0    36        0    41    41    23     0   105
 1974     0     8    24     4     0    36        0    45   180     9     0   234
 1975     5     3    22    15     3    48       12    10    91    57    13   183
 1976     1     8    19    17     6    51        2    37   106   101    20   266
 1977     1     9    18     5     1    34        2    68   126    12     2   210
 1978     3     7    19    10    10    49        5    33    68    44    40   190
 1979     4    10     6     6     3    29        8    28    23    36     6   101
 1980     2     6    20     9     4    41        4    32   135    36    17   224
 1981     0     7     9     3     3    22        0    33    44     7     5    89
 1982     1     3    11     4     0    19        1     3    40    26     0    70
 1983     0     5    18    24     6    53        0    17    82   155    25   279
 1984     0     5    14    17     6    42        0    18    56    96    32   202
 1985     1     8    16     6     8    39        2    40    52    26    31   151
 1986     0    12    19     3     1    35        0    47    98     9     1   155
 1987     8    18    19     8     1    54       41   104   110    46     2   303
 1988     8    21    18    15     1    63       25   133   119   159     1   437
 1989     3     3    13     4     1    24        8    14    79    17     6   124
 1990     1     7     8     6     6    28        1    25    34    18    15    93
 1991     3     9    10     9     2    33        9    32    53    19     2   115
 1992     2     2     1     2     0     7        7     2     3     3     0    15
 1993     0     2     2     4     1     9        0     2     5     6     1    14
 1994     1     5     2     4     2    14        3    16     4     8     5    36
 1995     0     9    11    18     0    38        0    34    73    80     0   187
 1996     2     9     4     1     0    16        9    41    12     3     0    65
 1997     0     7    13     7     4    31        0    33    49    23     9   114
 1998     3     4    10     6     8    31       11    17    25    19    30   102
 1999     0     8    18     3     4    33        0    17    88     7     8   120
 2000     2     5     8    11    10    36        4    23    21    44    61   153
 2001     3    10    11    11     0    35       12    37    43    59     0   151
 2002     1    15    22     3     6    47        6    62   124    16    19   227
 2003     0     5     7    12     2    26        0    12    30    80     4   126
 2004     1     3     5     1     5    15        1     7    14     3    10    35
 2005     0     8    16     0     0    24        0    33    57     0     0    90
 **************************************************************************************
MEANS   2.2   8.6  13.8  10.0   3.6  38.2      7.2  39.7  72.7  53.2  15.5 188.3
