# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7312] SAC-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   9  11  14  13  15  12  13   8   6   4   7 114
1952     7   4   9   6  11  10   8  12   4   0   4   2  77
1953     6   7  10  10  10   8   5   8   2   4   3   3  76
1954     3   4   9   9   8   9  10  13   8  10   3   2  88
1955     4   6   6   8   5   8   7   4   7   4   2   5  66
1956     9   3   5   6   9   8   8  14   3   6   7   2  80
1957     5   2   6   2  12  13   9   8  11   9   8   7  92
1958     4   3   4  10   6  11  11   4   3   0   2   2  60
1959     4   5   8   6  15   4   4   7  12  10   8   7  90
1960     6   5  13   8   9  10   5   9   7   2   1   5  80
1961     4   7  10   9   9   9  13   9  15   3   6   8 102
1962     3   9   8   6  14  11  13  11   6   5   3   1  90
1963     5   8   7   8   8  10   7   6   9   7   2   3  80
1964     4   2   9  11  10  10  10  10  11   3   5   6  91
1965     4   5  10  10   9   9   8  10  17   4   3   3  92
1966     7   4   5   9   6  10   9   9   7   3   2   5  76
1967     6   3   4   8   7  18   5   8   6   7   3   4  79
1968     6   3   3   9  10   9  11  10  12   9   6   8  96
1969     9   5   4   8  14  10   9   6   8   8   2   9  92
1970     6   2   7   8   8   7  10   7  13   7   6   2  83
1971     0   8   3   5   8   8  10   1   6  10   9   6  74
1972     3   5   7   0  10   9  10   6  10   9   7   7  83
1973     5   4  12   9  11   7  12   5  14   4   8   8  99
1974     6   3   5   7  15   6   6  13   3   5   7   2  78
1975    12   5  11  15  13  15   5   8   7   2  11   1 105
1976     1   5  10   8   7   8   5   3   6   5   0   5  63
1977     5   4  10  12   8   8   7  11  11  10   8   6 100
1978     7   6   5  17   9  10  11   8   7   8   8  10 106
1979     8   4  11  10   9   9   8  10   5   8   8   1  91
1980     6   5   7   4   9   8   7  14   4   4   1   4  73
1981     0   4   4  10   9   9   5  10   3   8   7   4  73
1982    10   5  10  13  24  10  10   9   7   8   9   5 120
1983     4   6  12   9  12  12   8   6   9  11  11   8 108
1984     2   4   8  15  17  16   9   6  13  16   4   8 118
1985     1   2   6  11  11  11   5  12  14   9  11   9 102
1986     2   4   5  17  12  13   6   9  17  10   3   4 102
1987     3   1  10   7  11   6  14  14   6   6  12   5  95
1988     2   5   2  10   8   7   7   7  11   4  10   3  76
1989     4   7   7   5   9  10   7   8   5   5   2   6  75
1990     3   2  12   9  10  14  13   7   6   6   6   8  96
1991     3   4  11  10  15   7   6   7   8   7   9   3  90
1992     7   5   8   9   7   8  17   8  11   3   9  10 102
1993     6   7   8  10  18  17  17  12  10   3   5   7 120
1994    11   5   3   8  10  10  10  11  11   7   8   4  98
1995     3   6  12  15  16  10   7  11  12  10   7   4 113
1996     6   4   6   5  15   9   8   9   7   5  13   5  92
1997     8   4   9  11  11   8   8   7   8   7   9   7  97
1998     5   7  14  13  11  21   9  13   2  13   4   4 116
1999     7   7   4  16  13  13  14   6   3   3   3   7  96
2000     7   7   7   5  12   9   8   9   6  12   7  14 103
2001     8   5   4   9  16   9  12   9   9   6   6   3  96
2002     6   3   6  12  13  10   9   9  12  14   2   2  98
2003     9   5   7  11  15  12   9   3   6   5   6   6  94
2004     9   9  16   8  15  14  10  12   6  11   9   3 122
2005     8   8   7  10  10  18   9   0   0   0   0   0  70
STDDEV   3   2   3   3   4   3   3   3   4   4   3   3  15
AVG      5   5   8   9  11  10   9   9   8   7   6   5  92
