# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7613] SHENANDOAH-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia7613
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  47   2  59   5  53   3  46   6  44   6  37   9  37  10  33  13  36   7  44  10  43   3  37   4
  2  33   2  48   5  43   4  41   6  48   8  39  11  34  12  33  13  40  12  45   6  43   3  34   3
  3  43   4  39   5  43   3  52   4  41   5  39   6  42   8  35   9  37  10  46   3  45   3  37   6
  4  37   3  42   7  40   4  50   6  43   7  42   9  34  12  33  11  40   8  45   6  40   4  39   3
  5  45   4  45   4  38   6  51   7  48   6  38   6  36  12  41  12  38  11  49   9  40   3  34   3
  6  32   3  40   7  47   5  48   5  45   8  38  11  37   9  32   7  46   8  40   8  43   4  40   2
  7  37   4  41   3  44   3  50   2  39   5  43   5  35  13  38   7  47  10  53   9  43   4  40   6
  8  43   4  40   3  40   3  43   4  40   7  40   9  34  13  33  13  46   8  50   5  40   4  42   3
  9  36   6  41   4  43   5  47   4  39   8  37   5  35   7  30  14  42   8  52   4  38   8  38   4
 10  38   6  37   5  42   3  47   6  38  10  39  12  36  11  35  13  39  11  48   8  46   2  42   3
 11  36   5  43   5  41   5  45   4  45   6  42   9  31  12  35  11  37  11  45  10  42   2  42   4
 12  45   5  38   4  48   5  47   6  41  11  34   9  34  12  32  10  51  11  45   6  49   4  34   4
 13  39   2  47   3  44   2  46   7  39   3  37   6  34   4  33  10  44   4  43   7  48   5  37   4
 14  35   5  42   5  50   3  42   4  40   5  35  11  37  13  37  12  37   9  42   9  44   3  47   3
 15  40   5  73   3  42   6  43   4  36   5  34   4  37  10  35   8  41   9  44  11  46   6  42   1
 16  41   5  48   5  41   4  40   5  44   7  36  14  36   4  35  10  46   5  40   4  42   4  47   7
 17  40   5  41   5  43   5  51   5  42  10  38  13  35  11  33   3  44   7  39   6  38   1  35   4
 18  53   4  48   4  45   2  43   7  38  10  34  16  33   8  33   7  43   8  50   5  35   2  35   3
 19  44   5  40   3  39   3  46   5  40  10  35  12  38   8  38  14  46   6  45   4  41   3  48   6
 20  44   3  42   3  43   6  45   5  37  14  37   5  34   8  38   6  44   8  51   8  36   4  41   2
 21  33   4  50   5  43   4  46   5  38   9  37  11  32   5  34  11  52   9  43   5  41   4  43   4
 22  42   3  41   3  45   5  41   7  37   7  38   9  35   6  40   7  42   7  46   7  42   3  36   5
 23  46   5  39   2  40   5  44   9  38   7  35   9  37  11  39  12  40   6  47   4  35   2  40   3
 24  47   4  46   5  54   4  42   7  39   6  34   6  37  12  36  13  40   5  44   3  36   5  40   2
 25  40   5  43   2  60   5  42   8  36   8  38   9  33  16  38   7  41   5  46   5  44   7  35   5
 26  37   2  43   4  48   2  38  10  36   9  35   3  44   8  37  12  48  10  50   5  34   6  36   6
 27  40   2  36   3  46   7  38   6  36   7  36   7  35  10  33   8  49   8  46   6  43   5  35   6
 28  51   6  39   5  45   6  40   6  39   4  39  14  40   9  37  13  44   7  43   4  42   4  45   3
 29  52   4  39   9  41   8  46   6  37   5  32  16  41  15  38   8  47   9  47   5  35   3  47   5
 30  43   4  **  **  45   5  45   4  35   4  35  11  33  14  38  12  43   8  40   2  38   4  39   6
 31  48   5  **  **  50   4  **  **  38   5  **  **  41  12  43  11  **  **  49   5  **  **  41   1
