# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7664] SIBLEY-5-NNE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia7664
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  24   5  25   4  35  14  50  28  63  38  72  50  82  59  83  58  78  55  69  42  52  30  34  17
  2  24   5  23   4  35  15  50  28  66  40  73  49  82  59  83  59  78  55  70  41  50  28  34  17
  3  24   3  25   4  33  15  50  28  66  40  76  49  82  58  82  59  79  55  68  42  48  27  34  16
  4  21   3  26   7  34  15  49  27  68  41  77  52  82  60  82  59  77  53  66  40  47  26  34  15
  5  23   1  26   6  35  15  51  28  69  43  77  53  82  59  81  58  77  53  66  40  48  26  34  15
  6  22   3  26   7  36  14  54  29  66  41  78  53  83  59  81  59  77  52  64  40  47  26  31  12
  7  20   0  26   6  34  13  56  31  67  42  78  55  83  60  82  58  79  52  63  38  47  26  29  13
  8  22   1  26   7  34  15  52  30  67  42  79  54  84  61  82  58  78  53  65  38  47  25  30  12
  9  21   1  27   6  35  17  51  29  67  42  78  54  82  59  81  56  76  52  62  37  44  24  30   9
 10  21   0  28  10  37  17  53  29  69  43  78  55  83  59  81  56  76  49  63  37  47  24  29   9
 11  22   1  27   7  38  19  55  31  69  43  79  55  83  61  81  55  76  49  64  38  44  24  28  10
 12  23   6  27   8  39  19  54  32  69  42  79  56  83  61  81  56  75  49  66  39  43  23  28  10
 13  24   4  29   8  37  20  54  31  69  42  81  56  84  60  80  57  73  50  64  40  44  25  28   9
 14  25   5  30  10  40  21  57  32  69  44  81  56  83  60  81  56  72  48  63  39  43  24  27   9
 15  22   3  28   9  39  19  59  34  71  45  79  55  82  59  80  57  71  47  63  37  45  24  28   9
 16  23   1  28   8  39  19  59  34  73  46  78  54  83  60  82  57  70  46  62  35  44  23  28   8
 17  23   4  31   9  41  21  59  34  73  47  79  55  85  61  82  57  71  47  60  35  43  24  28   9
 18  23   4  31  12  40  23  59  34  73  48  79  56  85  62  81  58  73  49  59  34  42  23  28   8
 19  23   3  30  11  40  23  61  36  72  46  80  56  85  61  80  57  73  48  59  33  42  21  27   9
 20  22   2  31  11  41  23  61  36  73  46  80  56  82  61  80  57  70  46  59  34  40  22  24   5
 21  21   3  31  11  41  21  61  36  74  48  80  56  83  60  79  57  68  44  60  35  38  20  24   6
 22  25   5  32  11  43  23  61  36  73  49  80  56  83  60  80  57  68  42  60  36  40  20  25   8
 23  24   4  33  14  43  23  60  36  72  48  80  55  82  59  79  58  66  41  58  34  38  20  25   9
 24  25   4  33  12  43  22  62  36  73  48  81  56  83  59  80  56  67  41  57  34  36  17  25   6
 25  22   5  34  13  44  23  65  38  72  48  83  58  84  59  79  56  69  42  58  34  39  19  24   7
 26  19   3  35  14  44  24  65  40  71  50  83  57  84  60  81  58  71  42  57  32  36  18  25   6
 27  21   2  34  16  48  26  64  39  72  49  82  58  83  59  81  58  69  42  58  33  34  16  26   7
 28  21   3  34  16  48  26  61  37  73  50  83  59  82  59  80  57  70  42  56  30  32  13  27  10
 29  23   3  35  10  45  27  64  38  74  51  84  60  83  57  81  57  69  42  55  30  32  15  26   8
 30  24   3 *** ***  48  27  63  38  75  51  81  59  82  59  80  58  69  42  55  32  33  15  23   6
 31  25   3 *** ***  49  28 *** ***  74  50 *** ***  82  58  78  55 *** ***  52  31 *** ***  23   5
