# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7664] SIBLEY-5-NNE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia7664   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10     8 281          168
   1952   4    15 106          10     5 279          173
   1953   4    20 110          10    28 301          191
   1954   4     8  98          10    31 304          206
   1955   3    28  87           9    11 254          167
   1956   4    30 121           9    30 274          153
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10     1 274          155
   1959   4    21 111          10    12 285          174
   1960   4    30 121          10    19 293          172
   1961   4    18 108          10     1 274          166
   1962   4    15 105          10    24 297          192
   1963   4    13 103          10    29 302          199
   1964   4     8  99          10    20 294          195
   1965   3    30  89          10    24 297          208
   1966   4    21 111          10     1 274          163
   1967   5     3 123          10    11 284          161
   1968   5     5 126          10     4 278          152
   1969   3    31  90          10    22 295          205
   1970   4     4  94          10    10 283          189
   1971   4     6  96          10    31 304          208
   1972   4     8  99          10    15 289          190
   1973   4    12 102          10    29 302          200
   1974   4     5  95          10     2 275          180
   1975   4     4  94          10    29 302          208
   1976   4     1  92          10     6 280          188
   1977   4     6  96          10    16 289          193
   1978   5     2 122          10    23 296          174
   1979   4     6  96          10    13 286          190
   1980   4    14 105          10    26 300          195
   1981   4    14 104          10    19 292          188
   1982   4    22 112          10    20 293          181
   1983   4    19 109          10    14 287          178
   1984   3    31  91           9    26 270          179
   1985   4     9  99           9    26 269          170
   1986   4    15 105          11     1 305          200
   1987   4     4  94          10     8 281          187
   1988   4    19 110          10    24 298          188
   1989   4    18 108          10    19 292          184
   1990   4    18 108          10    18 291          183
   1991   4    11 101           9    20 263          162
   1992   4    13 104          10    18 292          188
   1993   4     3  93          10    27 300          207
   1994   5     1 121          10    25 298          177
   1995   4    13 103           9    22 265          162
   1996   4    17 108          10    28 302          194
   1997   5    14 134          10    21 294          160
   1998   3    24  83          11     4 308          225
   1999   3    26  85          10     2 275          190
   2000   4     9 100          10     8 282          182
   2001   4    17 107          10    26 299          192
   2002   4    10 100          10    24 297          197
   2003   4    10 100          10    26 299          199
   2004   4    13 104          11    11 316          212
             MEAN=104              MEAN=289     MEAN=185
