# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia7669 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    130     71     60     52    305    175    150    127
 1952    124     63     52     43    428    277    246    216
 1953    228    128    109     90    338    197    167    142
 1954    152     63     48     36    560    376    338    301
 1955    211    121    104     88    600    409    373    339
 1956    226    130    109     93    416    277    248    220
 1957    174     82     68     58    431    272    237    207
 1958     85     31     21     13    410    253    221    190
 1959    200    112     94     77    421    265    235    208
 1960     44     26     22     18    477    308    272    237
 1961    170     84     65     50    345    207    182    160
 1962    139     75     60     49    447    293    259    226
 1963    297    166    142    122    530    351    311    274
 1964    191     98     80     66    487    307    272    239
 1965     41     11      8      6    478    305    271    241
 1966    319    195    171    148    347    208    178    152
 1967    341    228    205    182    489    317    279    243
 1968    402    270    242    215    508    325    285    246
 1969    117     68     59     51    460    294    261    230
 1970    141     61     48     36    492    335    300    268
 1971    180    105     90     77    509    336    301    269
 1972    292    174    151    130    446    280    247    216
 1973    216     88     64     45    413    261    229    199
 1974    285    169    149    132    502    339    303    268
 1975    122     65     53     42    396    243    207    176
 1976    241    137    119    102    533    351    314    278
 1977    339    196    169    144    613    418    376    336
 1978    155     95     82     70    409    243    211    184
 1979    162     75     59     47    363    218    187    159
 1980    139     75     61     49    459    304    272    240
 1981    294    175    152    131    644    440    394    353
 1982    176     83     66     51    393    251    223    197
 1983    173     97     83     70    277    160    136    115
 1984     78     23     15      9    327    175    148    125
 1985    313    191    164    139    583    397    355    317
 1986    369    241    212    184    529    354    316    279
 1987    290    176    155    134    554    378    342    309
 1988    307    202    179    157    486    321    288    257
 1989    274    173    151    132    577    406    368    331
 1990    214    115     98     83    387    241    208    179
 1991    269    167    145    123    438    268    236    206
 1992    277    152    128    106    340    206    179    157
 1993    120     53     42     33    279    167    145    125
 1994    249    144    125    108    403    266    241    216
 1995    228    136    117     99    301    177    152    129
 1996    146     74     61     48    338    214    188    164
 1997    227    128    106     86    285    168    145    124
 1998    113     59     50     44    365    215    186    158
 1999    186    104     86     69    352    194    164    138
 2000    267    152    127    103    391    244    215    188
 2001     80     30     23     16    493    325    288    255
 2002    143     74     60     48    411    258    227    199
 2003    224    132    117    102    452    294    262    233
 2004    247    144    120     96    460    288    253    221
 2005    209    112     93     74    466    300    263    226
     ****************************  ****************************
 MEAN  206.1  116.3   98.9   83.2  439.0  280.9  248.3  218.0
 STDV   83.2   58.4   53.0   47.5   89.1   70.6   66.1   61.4

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    758    525    472    420    833    596    538    481
 1952    745    514    464    415   1088    848    788    728
 1953    697    486    437    390   1044    804    745    686
 1954    604    404    364    324   1019    780    721    662
 1955    804    567    512    460    843    607    551    499
 1956    778    556    505    457   1009    776    718    661
 1957    692    464    413    365    925    686    628    570
 1958    795    559    506    455    877    640    584    529
 1959    748    517    464    413    967    727    667    608
 1960    718    498    448    401    887    647    587    528
 1961    615    409    367    327    908    668    610    552
 1962    973    726    666    608    935    695    635    575
 1963    740    507    452    400   1039    799    739    679
 1964    870    627    570    515    942    702    643    586
 1965    859    623    567    511    932    692    632    572
 1966    709    498    454    410    930    690    631    574
 1967    607    403    361    322    885    646    588    532
 1968    609    397    352    313    991    751    692    634
 1969    759    524    475    427    862    626    571    517
 1970    881    648    591    536    972    732    672    612
 1971    674    453    406    361   1068    828    768    708
 1972    729    498    447    401    973    733    674    617
 1973    681    462    412    366   1010    770    710    650
 1974    758    524    471    424    895    655    596    539
 1975    811    568    513    463    958    718    658    600
 1976    664    450    401    356    972    732    672    612
 1977    925    679    619    559   1035    795    735    675
 1978    727    503    453    405    981    741    683    626
 1979    706    483    434    390    936    696    637    579
 1980    777    544    490    442    997    757    698    639
 1981    684    461    415    371   1018    778    718    658
 1982    764    525    468    412    853    615    557    500
 1983    631    410    364    324    961    722    664    607
 1984    654    436    387    341   1015    775    715    655
 1985    842    595    534    478    907    667    609    553
 1986    777    534    478    424   1050    810    750    690
 1987    884    639    580    523   1027    787    727    667
 1988    900    652    593    534   1059    819    759    699
 1989    781    556    504    457    932    693    634    578
 1990    572    356    311    268    972    735    677    619
 1991    798    572    519    468   1010    770    710    650
 1992    691    471    424    380    844    605    547    489
 1993    643    410    364    319    878    639    581    524
 1994    722    499    446    397    955    715    655    595
 1995    522    298    256    219    904    664    605    547
 1996    591    373    325    283    928    690    633    576
 1997    530    334    295    262    962    722    662    602
 1998    799    559    502    446    847    611    555    500
 1999    665    430    383    337    887    647    587    528
 2000    792    553    496    442    901    661    601    543
 2001    718    476    423    374    863    626    568    511
 2002    599    395    353    313   1038    798    738    678
 2003    622    390    342    300    850    610    550    494
 2004    729    511    458    409    842    602    542    485
 2005    679    460    411    364    994    754    694    634
     ****************************  ****************************
 MEAN  727.3  500.2  449.4  401.5  949.3  710.0  651.1  592.9
 STDV   98.7   89.0   84.2   78.9   68.9   68.3   67.7   66.4

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1065    817    755    693   1051    803    741    679
 1952   1094    846    784    722   1008    760    698    636
 1953   1102    854    792    730   1062    814    752    690
 1954   1179    931    869    807   1094    846    784    722
 1955   1185    937    875    813   1106    858    796    734
 1956   1068    820    758    696   1065    817    756    698
 1957   1170    922    860    798   1072    824    762    700
 1958   1007    759    697    635   1041    793    732    672
 1959   1019    771    710    650   1139    891    829    767
 1960   1031    783    721    659   1050    802    740    678
 1961   1059    811    749    687   1015    767    705    643
 1962   1055    807    745    683   1037    789    727    665
 1963   1122    874    812    750   1035    787    725    663
 1964   1144    896    834    772    966    721    661    601
 1965   1078    830    768    706   1037    789    727    666
 1966   1141    893    831    769    961    714    653    592
 1967   1013    765    703    643    973    726    668    611
 1968   1097    849    787    725   1039    791    729    667
 1969   1123    875    813    751   1062    814    752    690
 1970   1082    834    772    710   1090    842    780    718
 1971   1042    796    735    675   1043    795    734    674
 1972   1065    817    755    694   1017    769    707    646
 1973   1075    827    765    703   1098    850    788    726
 1974   1169    921    859    797    975    727    666    606
 1975   1111    863    801    739   1120    872    810    748
 1976   1119    871    809    747   1060    812    750    688
 1977   1146    898    836    774   1024    776    714    652
 1978   1076    828    766    704   1048    800    738    676
 1979   1044    796    734    672   1023    775    713    651
 1980   1165    917    855    793   1100    852    790    728
 1981   1100    852    790    728   1008    760    698    636
 1982   1116    868    806    744   1019    771    709    647
 1983   1166    918    856    794   1181    933    871    809
 1984   1081    833    771    709   1114    866    804    742
 1985   1104    856    794    732    965    717    655    593
 1986   1147    899    837    775    966    719    658    599
 1987   1143    895    833    771    999    751    689    627
 1988   1087    839    777    715   1126    878    816    755
 1989   1092    844    782    720   1027    779    717    657
 1990   1034    786    724    662   1030    782    720    658
 1991   1063    815    753    691   1008    760    698    636
 1992    970    722    660    598    870    622    561    502
 1993   1049    801    739    677   1049    801    739    677
 1994   1005    757    695    633    963    715    653    591
 1995   1080    832    770    708   1119    871    809    747
 1996   1008    760    698    636    999    751    689    627
 1997   1065    817    755    693    986    738    676    614
 1998   1092    844    782    720   1060    812    750    688
 1999   1131    883    821    759    991    743    681    619
 2000   1052    804    742    680   1091    843    781    719
 2001   1124    876    814    752   1054    806    744    682
 2002   1138    890    828    766   1043    795    733    671
 2003   1104    856    794    732   1085    837    775    713
 2004    977    729    667    605    894    646    584    522
 2005   1098    850    788    726      0      0      0      0
     ****************************  ****************************
 MEAN 1088.6  840.6  778.7  716.8 1019.2  775.9  715.2  654.9
 STDV   51.8   51.8   51.7   51.6  151.6  121.3  113.9  106.7

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    692    469    420    374    477    304    270    239
 1952    859    628    574    521    469    327    296    266
 1953    819    601    550    505    650    456    416    378
 1954    907    673    617    563    515    326    287    249
 1955    878    641    587    534    568    393    352    312
 1956    812    585    537    491    656    457    413    376
 1957    699    471    420    375    417    240    205    171
 1958    834    602    548    496    590    407    364    321
 1959    776    552    500    451    392    237    204    174
 1960    830    603    551    501    543    364    328    293
 1961    697    484    435    389    562    369    327    289
 1962    712    503    455    411    585    391    351    312
 1963    824    590    534    480    814    580    524    472
 1964    776    553    501    450    510    339    304    270
 1965    696    474    424    377    610    414    370    331
 1966    698    471    421    376    550    384    346    310
 1967    707    488    437    390    492    320    280    244
 1968    784    549    495    446    583    401    360    320
 1969    837    600    543    489    432    269    240    213
 1970    795    569    516    466    449    284    249    218
 1971    850    624    571    521    656    448    402    360
 1972    841    614    561    508    442    274    239    208
 1973    776    545    488    433    646    431    385    341
 1974    686    489    446    404    585    385    342    302
 1975    704    484    436    389    639    447    406    368
 1976    827    599    547    498    418    257    225    197
 1977    847    607    548    492    481    298    260    226
 1978    910    674    618    564    507    334    300    266
 1979    869    634    579    529    572    386    346    311
 1980    842    612    559    508    515    345    311    280
 1981    827    600    547    494    459    271    233    202
 1982    764    538    485    436    525    341    304    269
 1983    870    646    593    540    499    297    259    223
 1984    781    568    517    466    542    346    303    261
 1985    766    555    506    458    515    317    274    239
 1986    909    671    614    557    508    306    264    225
 1987    785    547    491    439    444    283    249    217
 1988    885    647    590    536    443    283    249    216
 1989    685    473    428    384    496    330    296    264
 1990    858    629    576    523    483    324    289    255
 1991    787    580    531    485    483    311    277    247
 1992    718    504    459    416    474    306    273    241
 1993    590    379    332    291    422    253    220    189
 1994    773    551    498    450    528    340    297    256
 1995    704    495    447    400    465    303    268    236
 1996    681    461    415    372    468    311    275    240
 1997    817    580    522    471    498    333    298    266
 1998    931    693    636    579    519    330    293    256
 1999    713    496    447    403    491    327    293    261
 2000    808    582    531    482    608    394    349    307
 2001    735    511    458    405    472    284    246    211
 2002    814    579    525    473    324    196    170    147
 2003    685    472    425    378    548    361    322    286
 2004    878    643    585    527    501    309    271    235
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  773.6  552.5  501.4  452.7  509.8  333.1  295.9  261.2
 STDV  130.2  102.2   95.3   88.3  107.2   81.1   74.9   69.2
