# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia7669
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  57 -12  64 -16  75 -17  91  20  92  31  96  42  99  48 102  55 102  44  94  31  79  17  66   0
  2  62 -10  64 -23  77   0  90  17  92  30  93  40 102  51 102  51 100  47  95  30  80  10  67  -2
  3  59 -12  68 -23  80   1  87   8  88  28  96  47 101  50 102  51 102  40  92  33  78   6  65  -2
  4  57 -15  59 -18  76 -12  80  21  90  35  99  41 100  50 101  48  98  42  92  32  77   4  66   5
  5  64 -11  58 -14  73 -15  85  21  92  35 100  46 101  49 100  51  96  38  94  31  73   5  68   4
  6  60 -13  62  -9  77  -2  89  16  91  34 100  46 103  53  96  52  98  42  93  26  82   9  67  -6
  7  50 -18  65  -9  76  -5  86  21  95  35  98  50 101  52 101  50 101  44  90  22  77  -1  65  -4
  8  63 -13  67 -15  79  -4  84  22  92  32 100  45 100  55  99  51 100  44  85  25  78  -1  61  -7
  9  67 -15  63 -14  77  -2  86  22  90  33  98  46 102  55 100  51 101  45  87  26  80   6  56  -6
 10  55 -21  62 -12  78   0  87  22  90  34 100  46 100  54  98  53  95  43  92  29  75  13  61  -3
 11  62 -11  75 -18  85  -2  86  25  89  35  99  47 103  55  96  51  95  44  86  26  77  -1  65  -2
 12  61 -21  65 -13  82 -10  90  17  98  37  99  49 105  55 100  44  98  42  92  31  73   1  62 -12
 13  65 -12  73  -3  76  -9  80  21  92  32 100  46 107  55  98  46  96  34  91  25  72   4  60 -11
 14  64 -15  73  -2  73   3  87  22  92  33  95  49 105  52 103  52  93  38  88  28  83   0  59  -8
 15  58 -14  65  -8  76  11  90  25  89  32 101  47 106  52 103  51  97  37  87  31  75  14  57 -16
 16  59 -21  69 -16  81  14  89  25  89  42  99  50 102  55 102  51  95  37  86  25  77   5  64 -15
 17  64 -13  68 -16  80  11  87  25  92  40  99  51 105  58 101  53  95  40  83  23  74   1  61 -10
 18  63 -13  65 -10  75   9  89  22  93  43 102  51 103  58 102  54  95  34  87  22  74  12  67 -15
 19  58 -12  64  -4  80  13  91  26  91  39 102  52 105  57 102  49  96  30  86  17  73  12  59 -18
 20  63 -16  70   2  76  11  90  25  90  40 101  48 105  52 100  48  92  30  88  19  68   5  58 -16
 21  61 -14  71  -2  76   9  91  22  91  37 103  46 109  52 100  49  95  36  86  25  74   3  58 -17
 22  61  -7  71  -4  84  11  96  23  90  34 103  48 108  54 101  51  92  28  86  26  73  11  58 -24
 23  66 -17  68  -8  80  10  93  24  91  40 100  49 101  55 101  47  84  29  84  19  65   7  72 -25
 24  69 -12  70  -1  83   6  93  24  98  43 103  47  99  57 101  53  90  31  85  27  65   8  65 -21
 25  62  -8  69  -1  81   9  93  31  98  45 102  45 100  58 100  48  91  37  79  24  70   7  58 -18
 26  60  -8  76  -3  84   2  95  33  96  40 102  46 106  54 103  53  93  35  83  25  63   5  61  -7
 27  67 -17  73  -6  84  11  95  30  93  40 105  48 104  55 101  47  95  36  82  14  70   3  63  -5
 28  60 -15  78 -13  86   8  92  31  92  42 103  50 101  54 100  45 101  31  86  14  69  -5  67  -2
 29  60 -22  82  -4  91   9  94  26 100  43  99  52 105  51 102  50  93  30  76  21  64  -1  65  -6
 30  62 -14 *** ***  90  11  94  31  98  42  96  52 104  44  98  52  92  30  81  20  69  -9  62 -10
 31  69 -16 *** ***  87  18 *** ***  98  45 *** *** 101  51  98  45 *** ***  82  17 *** ***  62 -16
