# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia7669
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  32  14  36  16  46  22  60  36  69  46  77  55  86  64  87  64  84  61  76  49  59  38  43  25
  2  33  15  34  14  46  25  59  36  71  46  79  55  87  65  88  65  84  61  76  49  56  36  44  26
  3  32  13  34  14  43  23  59  35  70  47  79  56  87  65  87  65  84  60  74  49  55  35  45  26
  4  31  12  36  16  43  22  58  34  71  49  80  58  87  66  86  64  83  60  72  47  53  34  44  24
  5  32  12  35  15  43  23  58  34  73  50  81  58  87  65  87  64  82  58  71  46  53  32  44  25
  6  32  12  35  15  45  24  62  36  72  50  82  59  87  64  86  64  83  59  69  46  54  33  39  22
  7  29  10  35  15  44  23  64  38  71  49  83  60  87  65  85  64  84  60  70  44  54  33  39  22
  8  30  11  36  17  45  24  62  38  73  49  82  59  88  66  87  64  83  59  70  45  54  32  37  20
  9  31  12  36  16  47  25  60  36  72  49  81  60  88  65  86  64  81  58  69  43  52  32  38  18
 10  30  10  38  19  48  26  61  37  74  50  81  60  87  65  86  63  81  56  69  43  54  31  39  20
 11  31  12  38  16  49  28  63  39  73  50  82  61  87  66  85  62  80  56  70  44  51  31  38  19
 12  32  14  37  17  49  27  60  39  74  50  83  61  88  66  84  62  81  55  71  45  51  31  36  18
 13  34  13  39  18  48  28  61  38  73  50  85  61  88  67  85  63  79  56  70  45  53  31  37  17
 14  34  15  40  20  50  27  63  39  74  51  84  62  88  66  85  63  77  54  71  46  52  31  36  18
 15  33  13  38  19  48  27  65  39  75  52  84  61  87  65  85  63  76  53  70  45  53  32  36  19
 16  32  12  38  17  50  27  66  41  75  53  83  60  88  65  86  64  75  53  69  43  52  31  36  17
 17  33  14  41  18  51  29  65  42  77  53  84  61  88  66  86  64  77  53  67  43  51  31  36  17
 18  33  15  42  21  51  30  66  41  76  54  85  62  89  68  86  64  78  54  65  41  50  31  36  16
 19  32  13  41  21  50  31  68  44  77  52  86  63  89  67  86  63  78  54  64  40  50  29  35  18
 20  32  12  42  22  51  30  67  44  77  54  85  63  88  67  85  63  75  52  66  41  49  28  33  16
 21  33  13  43  21  51  28  67  43  76  54  85  62  86  66  85  63  74  51  67  42  49  28  33  15
 22  35  15  42  21  55  30  67  43  76  54  84  61  86  65  85  63  74  49  67  43  49  28  34  17
 23  36  15  42  23  54  31  68  43  77  54  84  62  87  65  84  62  72  49  64  42  46  28  35  17
 24  36  15  42  22  52  30  70  44  77  54  85  62  87  65  84  62  72  49  63  40  46  26  33  14
 25  34  15  43  22  52  30  71  45  77  55  86  64  88  65  86  62  73  50  63  40  46  26  34  16
 26  31  13  45  24  54  31  71  47  76  55  86  63  88  66  87  63  77  49  64  40  45  26  36  17
 27  31  12  45  25  59  33  69  46  75  54  86  64  88  66  87  64  75  49  63  40  42  24  35  18
 28  33  12  44  24  59  34  67  44  77  55  87  64  88  65  86  62  75  49  61  37  40  21  36  18
 29  35  14  49  21  55  34  69  46  78  56  88  65  88  65  86  63  74  49  62  37  41  23  35  17
 30  33  13 *** ***  56  34  69  46  78  56  87  64  88  65  87  63  75  49  61  40  41  22  33  14
 31  35  13 *** ***  58  35 *** ***  79  55 *** ***  88  65  85  61 *** ***  60  40 *** ***  32  15
