# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia7669   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    16 106          11     1 305          199
   1952   4    10 101          10     6 280          179
   1953   4    20 110          10    27 300          190
   1954   4     4  94          10    31 304          210
   1955   3    28  87          11     3 307          220
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11    18 322          203
   1959   4     9  99          11     5 309          210
   1960   4     9 100          10    20 294          194
   1961   4     2  92          11     3 307          215
   1962   4    15 105          10    25 298          193
   1963   3    21  80          11     2 306          226
   1964   3    30  90          11    19 324          234
   1965   3    30  89          11     9 313          224
   1966   4    21 111          10    16 289          178
   1967   4    24 114          10    28 301          187
   1968   4     5  96          11     8 313          217
   1969   3    30  89          10    27 300          211
   1970   4     4  94          11    15 319          225
   1971   4     6  96          11     6 310          214
   1972   4     4  95          10    19 293          198
   1973   4    10 100          11     5 309          209
   1974   4     5  95          11    14 318          223
   1975   4     4  94          11    13 317          223
   1976   3    16  76          10    17 291          215
   1977   4     5  95          11    12 316          221
   1978   3    18  77          11    14 318          241
   1979   4     6  96          10    13 286          190
   1980   3    21  81          10    26 300          219
   1981   3    20  79          10    23 296          217
   1982   4     9  99          11     4 308          209
   1983   4    18 108          11    23 327          219
   1984   3    30  90          11     2 307          217
   1985   4     1  91          11    19 323          232
   1986   4    14 104          11     9 313          209
   1987   4     3  93          10    11 284          191
   1988   3    18  78          10    28 302          224
   1989   3    31  90          11     2 306          216
   1990   4    12 102          11     5 309          207
   1991   3    31  90          10    30 303          213
   1992   4    23 114          11     6 311          197
   1993   4     3  93          10    30 303          210
   1994   4     8  98          11    23 327          229
   1995   4     5  95          11     3 307          212
   1996   4     7  98          11     1 306          208
   1997   4    14 104          10    27 300          196
   1998   3    21  80          11    20 324          244
   1999   3    26  85          11    20 324          239
   2000   4     9 100          10     7 281          181
   2001   3    28  87          10    28 301          214
   2002   4     5  95          10    17 290          195
   2003   4    10 100          11     6 310          210
   2004   3    31  91          11    12 317          226
             MEAN= 95              MEAN=306     MEAN=211
