# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia7669
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0     17     60    132    330    316     48     33      0      0
 1952      0      0      0     21     86    436    390    248    171      6      0      0
 1953      0      0      0      6    103    367    418    345    138     58      0      0
 1954      0      0      0     39     28    332    545    359    215     39      0      0
 1955      0      0      0     33    104    148    531    434    228     21      0      0
 1956      0      0      0     27    138    333    349    364    155     25      0      0
 1957      0      0      0     14     43    186    495    352     37      1      0      0
 1958      0      0      0      8     98    162    246    327    136     37      0      0
 1959      0      0      0      6    105    257    278    411    125      0      0      0
 1960      0      0      0     39     46    162    294    297    154      9      0      0
 1961      0      0      0     20     40    188    324    264     93      9      0      0
 1962      0      0      0     23    228    210    306    292     75     56      0      0
 1963      0      0      6     21     69    345    402    303    121    117      0      0
 1964      0      0      0     14    168    219    452    252    125      5      3      0
 1965      0      0      0     26    142    184    324    317     58     14      0      0
 1966      0      0      2      3    101    212    448    215     56     24      0      0
 1967      0      0     19     21     80    162    295    238     42     33      0      0
 1968      0      0     12     13     30    318    390    311     85     47      0      0
 1969      0      0      0      3    104    169    396    311    117     37      0      0
 1970      0      0      0     40    174    259    414    405    167     20      0      0
 1971      0      0      0     11     41    412    318    355    233     37      0      0
 1972      0      0      0      9     90    278    326    310    177     10      0      0
 1973      0      0      0      4     39    305    331    364     94     31      0      0
 1974      0      0      0     23     74    196    575    231     68     15      0      0
 1975      0      0      0      6     99    235    418    464     84     45      0      0
 1976      0      0      0     21     37    249    420    360    155     29      0      0
 1977      0      0      0     48    166    342    501    270    115      3      0      0
 1978      0      0      0      2     91    288    352    325    236      1      2      0
 1979      0      0      0      0     67    237    302    297    162     24      0      0
 1980      0      0      0     25     92    301    542    410    179     24      0      0
 1981      0      0      1     55     55    312    380    247    135      0      0      0
 1982      0      0      0      9     53    136    389    284    116     19      0      0
 1983      0      0      0      3     28    235    494    494    218     28      1      0
 1984      0      0      0     10     45    276    344    418    177     18      0      0
 1985      0      0      2     50    103    203    388    203    182      3      0      0
 1986      0      0     34     25     64    345    425    207    191      0      0      0
 1987      0      0      0     74    180    305    442    272     85      9      1      0
 1988      0      0      0      4    141    411    376    465    184      7      0      0
 1989      0      0      6    104    117    211    375    277     76     17      0      0
 1990      0      0      1     26     12    264    313    287    214     15      4      0
 1991      0      0      3     19    144    293    334    271    160     15      0      0
 1992      0      0      0      5     59    117    208    126     86     21      0      0
 1993      0      0      0      0     19    178    282    317     25     17      0      0
 1994      0      0      0     22     89    243    246    226    119     14      0      0
 1995      0      0      0      0      2    187    383    411     92     14      0      0
 1996      0      0      0      3     48    228    246    229     80     16      0      0
 1997      0      0      0      0     17    236    354    250    133     66      0      0
 1998      0      0      2      4     99    177    347    324    241     11      0      0
 1999      0      0      0      1     32    175    414    231     90      5      1      0
 2000      0      0      0      1    110    189    293    362    183     30      2      0
 2001      0      0      0     25     80    180    387    311     83      8      1      0
 2002      0      0      0     24     42    330    463    299    153     17      0      0
 2003      0      0      0     29     32    141    382    381     67     28      0      0
 2004      0      0      2     17    102    122    223    152    153      5      0      0
 2005      0      0      1     14     60    265    371      0      0      0      0      0
 MEAN      0      0      2     19     81    243    374    311    131     22      0      0
