# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7678] SIGOURNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia7678
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  48 -11  63 -21  62 -20  78  20  88  31  92  41  99  49 104  55  98  47  90  31  78  19  65   0
  2  51 -16  60 -25  74  -2  85  18  89  29  94  42  97  50 100  54  97  43  93  21  77  11  69   1
  3  56 -11  57 -26  78  -3  84  11  88  31  92  42  97  50 105  51  97  40  87  30  78   8  66  -6
  4  54 -15  63 -27  67 -10  83  15  89  30  94  44 102  47 101  48  94  40  91  30  75   4  64  -3
  5  58 -22  52 -21  69 -16  80  17  88  33  96  45 101  45  97  49  96  41  90  28  71   4  71  -3
  6  57 -19  55 -14  71 -12  83   7  86  30  93  44 103  51  97  50  95  42  92  28  73  16  67 -11
  7  49 -15  61 -12  74  -4  85  18  88  31  94  45  98  48 100  48  95  41  87  26  75  -1  59 -13
  8  57 -16  56 -15  78  -5  80  19  88  34  97  46  96  51 104  48  96  43  84  25  77  -2  58  -7
  9  66 -15  59 -24  75  -5  84  17  89  32  98  45  98  51 101  53  99  44  84  26  79  -1  59 -13
 10  54 -23  59 -10  72   0  83  17  89  30  96  44  99  50  98  50  96  40  88  26  76  11  60  -5
 11  53 -15  62 -15  78   3  82  20  89  34  95  44 100  50 100  48  92  40  87  23  76   4  61 -16
 12  57 -23  63 -11  71  -3  83  20  94  34  95  47 101  54  99  48  96  39  89  25  69   5  59 -10
 13  59 -11  71 -13  79  -3  78  22  90  35  96  45 102  52  95  48  91  39  89  26  70   2  61 -11
 14  62 -24  65  -4  73   2  81  23  90  35  98  51 104  49 103  46  91  38  86  29  77   2  60 -12
 15  53 -20  65  -8  73   6  87  22  87  34  94  46 104  52 107  49  95  39  87  26  75   8  54 -17
 16  57 -20  64 -17  74  -3  87  24  87  34  92  46  98  56 105  48  92  39  86  27  73   2  58 -14
 17  60 -16  66 -20  77   8  86  26  88  37  91  46  99  56 106  49  93  39  86  25  75  -2  55  -7
 18  58 -19  67 -11  76   8  87  22  89  40  97  47 100  52 103  47  92  38  85  21  74   8  58 -18
 19  53 -21  64 -22  76   7  84  25  90  39  98  48  99  58 105  51  90  33  85  14  73   8  63 -19
 20  54 -21  62  -8  73   6  89  28  90  38 101  49 102  52  99  48  89  33  85  24  66  14  51 -14
 21  59 -24  61  -8  71   2  90  28  90  40 102  44 103  51 101  48  87  33  84  25  73   4  56 -20
 22  59 -10  66  -2  82   9  91  25  90  33  98  47 105  52  98  49  88  31  81  20  69   7  58 -20
 23  61 -12  65 -10  77   7  89  22  89  34  96  49  97  53  98  48  82  31  84  23  67   7  60 -22
 24  60 -14  67  -8  82   1  85  22  89  40  99  47  95  56  99  49  90  32  83  25  63   8  56 -23
 25  63 -10  69  -9  74   5  88  28  93  39 105  50  95  55 100  46  90  34  83  24  62   0  55 -19
 26  57 -15  68 -13  81   3  87  31  92  34 100  51  99  54 104  49  89  30  85  25  64  -4  54 -15
 27  62 -16  72  -7  84  11  87  25  90  37  99  50 100  50  99  47  89  34  78  16  70   6  54 -10
 28  63 -16  64 -13  79  12  89  30  90  39  98  50 106  53  96  42  98  28  76  16  69  -4  69 -12
 29  56 -20  70  -4  86  10  89  25  92  38  98  53 100  49  99  45  93  32  75  18  61  -5  63  -6
 30  65 -14 *** ***  83  10  93  30  90  42  99  53 101  46  97  49  90  34  76  23  69   2  62  -8
 31  70 -20 *** ***  82  16 *** ***  91  41 *** *** 107  47  96  48 *** ***  84  20 *** ***  64 -14
