# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7678] SIGOURNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia7678
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  33   2  39   3  42   6  41   4  40   6  34   5  36   8  34   9  35   5  51   7  40   4  34   7
  2  28   3  45   4  37   6  47   7  35   5  34   6  33  10  36  12  39  10  40   7  38   4  38   3
  3  37   3  32   3  50   2  48   6  36   7  34   7  31  13  36   6  34   4  40   3  35   2  33   0
  4  43   4  41   2  42   1  49   4  36   3  32   8  34  12  32   8  38   8  40   3  39   6  36   6
  5  39   1  38   7  40   5  46   3  36   3  33   8  33   6  33   4  37   3  41   9  36   3  35   3
  6  43   3  34   5  43   6  46  11  41   9  38   7  34   8  33   4  39   6  36   3  38   4  36   1
  7  38   3  39   2  38   3  60   9  35   4  33   6  30   8  34   7  40   8  44   5  35   4  38   3
  8  38   1  32   3  41   1  40   5  35   4  35   7  30  11  31   7  39   8  39   6  36   2  38   2
  9  34   6  41   3  43   2  44   5  40  11  34   5  33   9  37  13  41   5  34   6  39   6  36   3
 10  35   6  33   3  42   5  36   5  34   7  34  11  32   9  39  13  40  10  36   8  40   4  39   3
 11  39   3  37   4  44   6  43   6  34   6  31   7  29  10  41   6  35  12  36   5  35   6  35   1
 12  33   3  38   5  34   5  45   2  35   6  30   7  30  10  34   7  41   8  47  13  43   3  31   3
 13  38   3  50   3  35   0  43   6  39   7  33   6  36   5  34  12  38   6  35   3  36   3  40   5
 14  34   4  34   3  40   5  35   4  39  10  31  12  36  11  32  12  32   9  38  10  40   4  38   3
 15  49   4  46   1  40   5  37   4  34   9  30   9  32   7  32  10  32   7  35   7  37   6  38   3
 16  38   4  31   3  37   6  48   5  35   9  31  13  33  13  34  10  34   9  35   8  33   4  40   5
 17  36   5  46   3  35   7  43   8  39   6  33  12  33   3  32   9  36   6  40   9  34   4  34   3
 18  36   2  52   3  43   4  39   5  42   8  30  12  35  10  36   8  35  10  48   8  41   4  31   3
 19  33   1  44   4  35   2  37   6  38   7  31   7  31  10  33   8  38   6  40   6  39   6  42   2
 20  37   2  37   2  37   2  40   4  36   6  31   9  29   8  35   7  37   7  40   5  35   2  30   2
 21  33   3  39   5  37   4  40   7  35   8  30   8  31   7  32  13  37   7  36   3  39   3  41   4
 22  43   2  37   4  47   6  34   5  37   6  31  10  31   8  34  12  47  10  41   4  37   5  35   3
 23  38   3  35   5  43   5  40   8  34   9  31   6  31   7  30  10  41   4  37   3  35   3  35   3
 24  43   2  38   4  49   2  36   9  33   6  34  12  30   8  31   7  43   6  44   3  31   5  38   4
 25  43   5  40   4  50   5  34   7  33   5  32  10  32   8  37  10  39   7  38   4  33   0  33   2
 26  39   5  39   4  41   4  39   7  31   6  35  11  34   8  34  10  43   8  38   4  36   7  36   4
 27  33   2  33   3  44   1  42   7  33   6  32  11  34   5  37   5  35   3  39   5  33   4  34   5
 28  36   4  35   5  38   6  42   5  35   5  38  11  32  11  37   7  43   3  34   4  51   5  44   1
 29  36   5  40  13  45   3  45   5  34   7  33  10  35  12  41   3  38  10  40   6  31   2  33   3
 30  35   5  **  **  33   5  42   7  30  12  32  10  31  10  36   6  40   9  39   7  37   3  33   4
 31  37   2  **  **  41   5  **  **  42  13  **  **  34   6  32  12  **  **  41   7  **  **  34   2
