# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7708] SIOUX-CITY-WSO-AP
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia7708
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  55 -20  58 -24  77 -15  88  17  93  25  93  40  98  44 101  51  98  44  91  26  72  15  70  -4
  2  59 -13  65 -23  76   0  86   9  91  28  92  42  97  48 101  53 103  42  94  26  76   7  62  -3
  3  51 -16  54 -19  71  -5  80  -2  88  25  95  40 104  47  99  52  94  37  91  28  81   3  61  -3
  4  54 -19  55 -17  74 -16  79  19  93  29  96  40 100  46  97  46  95  45  85  27  76  -3  58  -9
  5  61 -18  56 -19  74 -22  89  16  90  30  94  45  99  47  99  49  96  40  93  26  77   6  62  -1
  6  50 -16  57 -17  78 -11  91  12  92  32  93  39 100  50  98  49 102  39  91  22  77  -3  60 -12
  7  64 -19  69 -15  77 -10  88  17  92  30  96  43 106  51 101  47 101  38  89  23  77  -9  68 -11
  8  64 -17  62 -17  70  -7  88  14  90  29 103  40 100  51  99  50  98  35  84  17  81   1  64 -19
  9  55 -20  62 -24  65  -3  87  17  92  33  98  42 102  49  92  51  96  37  87  20  73  13  63 -16
 10  64 -22  68 -14  74  -3  84  20  90  32  98  46  99  45  99  47  93  36  87  24  70  -2  63  -9
 11  56 -20  63 -23  69 -12  89  21  92  32  98  47 105  52  97  49  92  36  90  19  77  -8  59 -10
 12  59 -24  63 -15  72 -14  79  15  89  31  99  45 108  51  97  46  93  38  92  28  69   2  58 -13
 13  64 -21  63 -11  70  -9  87  17  95  25 101  40 105  50  98  46  96  34  92  23  78  -4  60 -17
 14  53 -20  60  -6  70 -12  90  22  97  35  99  46 104  50 100  48  91  37  89  27  72  -9  59 -15
 15  54 -18  54 -14  76   5  96  22 101  32 101  41  96  51 101  45  98  33  90  22  75   8  56 -14
 16  54 -23  66 -20  80   1  89  24  91  33  99  43  97  50 101  53  97  37  85  22  75  -3  64 -15
 17  54 -15  71 -19  71   0  88  20  97  36  98  45 102  54 102  48  96  33  89  15  71  -4  61 -11
 18  57 -19  65 -17  79   3  92  19  96  38 105  48 103  53 100  47  92  33  85  20  69   4  60 -19
 19  50 -26  69 -12  78   0  90  22  94  37 103  43 103  54  97  46  96  29  88  13  71   6  54 -19
 20  57 -19  65 -10  69   3  91  22  93  32 102  47 102  50  99  50  91  34  87  16  71   1  55 -17
 21  56 -26  63 -10  68  -2  94  23  94  36 108  45 101  48  99  48  94  29  81  21  70   0  57 -22
 22  62 -17  68 -16  79  -1  97  27  92  31  99  47 102  53  99  50  88  25  85  17  67   4  53 -24
 23  60 -17  68 -15  77   4  86  25  91  37  98  51  98  52  97  47  87  30  82  20  58   2  49 -24
 24  70 -16  67 -18  82  -4  87  23  94  41 104  48  96  55 102  50  89  30  82  18  68   1  52 -18
 25  59 -10  64  -7  75   5  93  30 102  42  98  43  99  53 102  47  93  31  81  22  75  -1  56 -13
 26  71 -17  66 -11  83  -2  91  30  91  34 100  49 102  49 104  48  93  25  84  18  66  -8  56 -16
 27  50 -18  62 -11  82   8  91  27  90  34  97  46 101  54 104  43  93  32  86  15  73  -1  55 -17
 28  48 -17  71 -26  83   9  91  27  94  38 103  52  98  50  99  39  90  27  75  15  57  -7  60  -3
 29  57 -22  69 -15  89   5  89  25  95  41 100  49 101  48  99  47  92  25  80  18  63  -4  61  -9
 30  57 -18 *** ***  91   8  93  26  94  43 104  50 104  42 101  48  90  29  79  16  62  -6  55 -16
 31  57 -19 *** ***  89  11 *** ***  91  42 *** *** 107  49  95  43 *** ***  79  12 *** ***  54 -19
