# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7708] SIOUX-CITY-WSO-AP
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia7708   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    19 109          10    30 303          194
   1952   4    10 101          10     6 280          179
   1953   4    20 110          11     5 309          199
   1954   4     4  94          10    31 304          210
   1955   3    28  87          11     2 306          219
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   4    13 103          10    17 290          187
   1960   4    10 101          10    19 293          192
   1961   4     7  97          10     1 274          177
   1962   4    15 105          10    25 298          193
   1963   4     4  94          10    29 302          208
   1964   4     8  99          10     9 283          184
   1965   3    30  89          11     4 308          219
   1966   4    21 111          11     1 305          194
   1967   4    24 114          10    11 284          170
   1968   4     5  96          11     3 308          212
   1969   3    31  90          10    17 290          200
   1970   4     4  94          11    14 318          224
   1971   4     6  96          10    31 304          208
   1972   4     4  95          10    18 292          197
   1973   4    11 101          10    29 302          201
   1974   4     5  95          10     2 275          180
   1975   4     4  94          10    25 298          204
   1976   5     3 124          10     6 280          156
   1977   4     6  96          10    16 289          193
   1978   4    21 111          10    23 296          185
   1979   4     6  96          10    13 286          190
   1980   4    14 105          10    25 299          194
   1981   3    23  82          10    22 295          213
   1982   4    11 101          10    21 294          193
   1983   4    15 105          11    11 315          210
   1984   3    24  84           9    26 270          186
   1985   4     9  99          11     2 306          207
   1986   4    14 104          10    13 286          182
   1987   4     5  95          10    11 284          189
   1988   4    19 110          10     5 279          169
   1989   4    15 105          10    18 291          186
   1990   4    17 107          10    10 283          176
   1991   3    30  89          10    19 292          203
   1992   4    12 103          10    18 292          189
   1993   4     4  94          10    10 283          189
   1994   4     7  97          10    25 298          201
   1995   4     4  94           9    22 265          171
   1996   4    30 121          10    27 301          180
   1997   5    13 133          10    20 293          160
   1998   4     2  92          11     5 309          217
   1999   4     4  94          10    19 292          198
   2000   4     8  99          10     6 280          181
   2001   4     1  91          10     6 279          188
   2002   4     9  99          10    13 286          187
   2003   4     9  99          10     1 274          175
   2004   4    13 104          10     2 276          172
             MEAN=100              MEAN=292     MEAN=192
