# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7726] SIOUX-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia7726
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  35   3  35   3  42   1  47   5  45   7  43   8  35  10  38  11  47  10  49   4  47   4  38   2
  2  37   4  49   5  38   5  48   4  42   6  42   5  30  13  35   8  48  12  44   7  44   3  44   4
  3  41   4  38   6  36   4  66   3  42   5  44  10  37  10  36   9  40  10  42   6  45   4  35   2
  4  35   6  43   3  42   3  44   4  48   5  39  13  39  13  32   6  40   9  43   6  42   3  35   4
  5  38   2  50   4  40   5  46   7  45   6  47   8  38  12  36   7  41  11  49   7  39   3  35   3
  6  40   3  47   3  42   5  44   7  47  10  39  10  35  10  36   5  36   7  45   7  41   3  40   2
  7  38   5  40   4  39   6  47   6  41   5  34  10  36  11  34  11  46   7  45   3  41   8  43   2
  8  38   7  38   6  34   3  42   4  40   4  39   8  36  12  38   3  42  10  44   5  41   5  35   4
  9  37   5  39   2  37   6  44   3  43   8  38   7  35   8  38   9  40   6  43   6  40   3  47   4
 10  34   5  44   2  46   5  44   4  45   5  33   9  36   8  36   8  41   9  49  10  41   2  41   5
 11  41   7  39   4  37   3  49   2  42   8  39   8  33   8  37   7  40  11  45   6  44   4  37   5
 12  45   2  41   3  35   5  43   4  43   5  40   8  34  10  38  11  48   7  41   5  41   3  44   2
 13  34   2  35   4  41   5  46   8  42   7  37  14  35   8  40   7  42   7  40   7  38   3  52   1
 14  34   6  37   2  43   4  42   3  46   7  38  11  35   6  43   8  35   5  43   9  40   4  41   1
 15  41   7  37   6  45   3  46   7  44   5  37  10  34  15  36   9  40   8  42   4  38   5  36   3
 16  42   8  46   4  44   4  46   3  50   9  32   8  38  10  36  10  47   7  43   4  37   4  53   3
 17  34   6  38   3  40   2  43   5  43   6  37  11  34  11  41   8  43  10  42   8  35   4  35   3
 18  46   6  43   2  35   2  49   3  45   8  46   5  31   9  35  10  40   7  48   5  37   7  37   3
 19  40   4  41   2  36   5  41   6  40   7  34   6  33   8  39  12  42   7  47   5  46   4  33   5
 20  46   5  38   4  39   5  46   5  45   8  36  11  33   7  46   4  42   5  52   2  36   4  39   6
 21  36   3  51   1  37   4  50   4  38  10  41  13  36   8  37   7  43   6  48   5  36   5  46   4
 22  47   4  39   3  45   4  41   5  39   4  40   6  34   8  42  12  44   6  42   4  41   4  33   5
 23  34   4  38   5  42   5  49   4  44  10  38  14  37   9  40  10  42  12  45   5  37   4  43   4
 24  39   3  42   3  47   4  40   5  36   4  36   9  38  14  43   6  43  10  51   5  35   3  40   3
 25  40   2  41   6  38   5  41   6  43   2  39  13  40  11  38   4  47   6  43   6  41   4  36   3
 26  41   4  39   3  54   5  42   3  40   6  44   7  35  13  39   5  47   7  49   7  38   3  46   2
 27  35   6  40   5  51   3  43   7  38   6  38  11  37   8  38  11  44   7  46   3  38   2  44   2
 28  46   4  41   5  42   1  50   5  40   5  45  13  35   8  40   7  49   5  40   7  37   3  46   4
 29  38   5  38  10  48   5  48   5  39   5  34   5  39   6  38   9  45   3  45   4  40   4  42   2
 30  40   8  **  **  49   5  50   2  38   5  37   7  37   6  41   9  47  11  45   5  35   3  36   1
 31  47   4  **  **  47   3  **  **  40   9  **  **  36   7  36   7  **  **  43   2  **  **  35   3
