# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7726] SIOUX-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia7726   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    24 115           9    23 267          152
   1953   5    13 133           9    22 265          132
   1954   5    20 140           9    22 265          125
   1955   4     8  98           9    12 255          157
   1956   5     4 125           9    30 274          149
   1957   5     6 126          10    10 283          157
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10     9 282          170
   1960   5    12 133          10    16 290          157
   1961   5     2 122           9    28 271          149
   1962   4    19 109           9    20 263          154
   1963   5    23 143          10    28 301          158
   1964   4    10 101          10     9 283          182
   1965   4    28 118           9    24 267          149
   1966   5    10 130          10     5 278          148
   1967   5     9 129           9    28 271          142
   1968   5    17 138          10     3 277          139
   1969   5    12 132          10    14 287          155
   1970   5     2 122          10    10 283          161
   1971   5    12 132           9    23 266          134
   1972   4    25 116           9    30 274          158
   1973   5    17 137          10    16 289          152
   1974   5     6 126           9     3 246          120
   1975   4    20 110          10     1 274          164
   1976   5     7 128          10     6 280          152
   1977   4     7  97          10     3 276          179
   1978   5     3 123          10     8 281          158
   1979   5     4 124          10     4 277          153
   1980   5     8 129          10     3 277          148
   1981   5    11 131          10     2 275          144
   1982   4    23 113          10    16 289          176
   1983   5    15 135           9    21 264          129
   1984   5     2 123           9    26 270          147
   1985   4     9  99           9    26 269          170
   1986   5     2 122          10     6 279          157
   1987   4    11 101          10     2 275          174
   1988   4    26 117          10     4 278          161
   1989   5     7 127           9    23 266          139
   1990   5     2 122          10    10 283          161
   1991   4    24 114           9    19 262          148
   1992   4    27 118           9    28 272          154
   1993   4    21 111           9    15 258          147
   1994   5     1 121           9    27 270          149
   1995   5     2 122           9    22 265          143
   1996   5     2 123          10     3 277          154
   1997   5    15 135          10    14 287          152
   1998   4    17 107          10     1 274          167
   1999   4    18 108           9    21 264          156
   2000   4    21 112           9    21 265          153
   2001   4    24 114           9    24 267          153
   2002   5    19 139           9    24 267          128
   2003   4    10 100           9    25 268          168
   2004   5    15 136          10     2 276          140
             MEAN=120              MEAN=273     MEAN=153
