# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7979] STORM-LAKE-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia7979   BASE TEMP=32
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   5     6 126           9    28 271          145
   1952   4    15 106          10     4 278          172
   1953   5    13 133          10     7 280          147
   1954   5     9 129          10    16 289          160
   1955   5     8 128          10    15 288          160
   1956   5     4 125           9    30 274          149
   1957   5     5 125          10    10 283          158
   1958   4    29 119          10     1 274          155
   1959   5    15 135          10     9 282          147
   1960   5    11 132          10    19 293          161
   1961   5     3 123           9    28 271          148
   1962   4    20 110           9    20 263          153
   1963   5    23 143          10    29 302          159
   1964   4    23 114           9    27 271          157
   1965   4    29 119           9    24 267          148
   1966   5    13 133           9    16 259          126
   1967   5    20 140           9    28 271          131
   1968   5     5 126          10     3 277          151
   1969   4    30 120          10    13 286          166
   1970   5     2 122          10     9 282          160
   1971   5    26 146          10    28 301          155
   1972   4    26 117          10    15 289          172
   1973   5     2 122          10    17 290          168
   1974   5     7 127           9    22 265          138
   1975   4    22 112          10    25 298          186
   1976   5     8 129          10     6 280          151
   1977   4     7  97          10     6 279          182
   1978   5     2 122          10     7 280          158
   1979   5    12 132          10     9 282          150
   1980   5     9 130          10     3 277          147
   1981   5    12 132          10     2 275          143
   1982   4    23 113          10    17 290          177
   1983   5    15 135           9    22 265          130
   1984   5     9 130           9    26 270          140
   1985   4    10 100           9    25 268          168
   1986   5     3 123          10     6 279          156
   1987   4    11 101          10     3 276          175
   1988   4    28 119          10     4 278          159
   1989   5     7 127           9    23 266          139
   1990   5     2 122          10    11 284          162
   1991   4    11 101           9    19 262          161
   1992   4    28 119          10    15 289          170
   1993   4     9  99           9    29 272          173
   1994   5     1 121          10    12 285          164
   1995   5     3 123           9    22 265          142
   1996   4    30 121          10     3 277          156
   1997   5    16 136          10    14 287          151
   1998   4    18 108          11     4 308          200
   1999   4    19 109           9    21 264          155
   2000   4    21 112           9    21 265          153
   2001   4    24 114          10     6 279          165
   2002   5     2 122          10     7 280          158
   2003   4    10 100          10     1 274          174
   2004   5     3 124          10     2 276          152
             MEAN=121              MEAN=278     MEAN=157
