# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8266] TIPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia8266 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     43      6      3      2    291    167    140    115
 1952     87     38     30     23    430    283    251    222
 1953    152     73     57     43    250    131    106     84
 1954    100     36     28     21    481    303    263    228
 1955    158     85     70     56    550    364    325    290
 1956    128     51     40     31    351    226    197    170
 1957    137     53     39     29    415    258    224    192
 1958    104     41     28     18    382    233    200    167
 1959    120     56     48     41    362    215    186    161
 1960     30     11      7      6    434    277    242    211
 1961    127     55     44     34    242    126    105     87
 1962     82     41     35     30    384    241    210    183
 1963    204    119    104     91    457    302    265    231
 1964    104     47     35     26    378    226    195    168
 1965     14      3      2      1    310    177    150    125
 1966    206    104     83     63    308    174    147    121
 1967    187    113     96     81    392    230    196    165
 1968    293    173    150    128    417    266    234    203
 1969    106     54     45     37    417    258    222    189
 1970     57     18     11      6    359    229    201    175
 1971     57     27     22     17    377    244    217    193
 1972    124     61     49     39    275    157    135    116
 1973    206     90     69     51    271    152    131    111
 1974    129     62     50     41    400    257    227    199
 1975     37     12      7      4    239    133    111     92
 1976    191    104     88     75    411    254    220    188
 1977    215    114     95     78    483    323    289    258
 1978     90     44     35     28    303    181    155    131
 1979    100     52     43     35    249    137    113     90
 1980     84     31     22     15    368    228    201    176
 1981    192     99     84     71    478    315    278    246
 1982     97     38     31     24    284    178    155    133
 1983    152     76     62     51    242    129    112     98
 1984     40      7      3      0    291    166    139    114
 1985    185     83     64     47    497    343    311    279
 1986    215    128    110     96    455    293    259    227
 1987    183     89     75     63    448    292    260    230
 1988    166     80     64     49    344    212    184    157
 1989    133     72     62     53    347    192    162    137
 1990    200    103     84     68    335    205    180    158
 1991    168     92     78     65    378    229    200    173
 1992    159     74     60     47    262    147    125    106
 1993     55     25     20     15    229    118     97     80
 1994    114     50     40     32    345    218    188    163
 1995    168     94     79     67    219    116     95     75
 1996     81     31     24     17    276    161    138    120
 1997    140     65     53     43    256    155    132    111
