# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8296] TOLEDO
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia8296
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0     12     50     79    217    169     23     29      0      0
 1952      0      0      0     13     34    264    292    164    100      0      0      0
 1953      0      0      0      3     57    206    276    250     92     63      0      0
 1954      0      0      0      6     14    274    354    193    111     19      0      0
 1955      0      0      0      6     50     93    422    355    124      7      0      0
 1956      0      0      0      0     72    292    248    231     53     15      0      0
 1957      0      0      0      9     18    127    362    232     24      0      0      0
 1958      0      0      0      3     39     83    154    244     55     20      0      0
 1959      0      0      0      0     72    182    204    340    114      0      0      0
 1960      0      0      0     24     16     88    194    234    106      1      0      0
 1961      0      0      0      0     22    122    177    202     76      3      0      0
 1962      0      0      0     12    116    132    185    191     29     26      0      0
 1963      0      0      0      0     31    205    238    145     55     43      0      0
 1964      0      0      0      1     64    122    259    108     55      0      0      0
 1965      0      0      0      0     84     94    199    174     19      7      0      0
 1966      0      0      0      0     11    143    327    118     48      2      0      0
 1967      0      0      1      0     40    132    181     99     12     12      0      0
 1968      0      0      0      0      9    185    248    212     44     29      0      0
 1969      0      0      0      0     52     69    255    201     52     17      0      0
 1970      0      0      0     23     87    185    250    186     81      7      0      0
 1971      0      0      0      0     15    282    163    142    124     27      0      0
 1972      0      0      0      0     61    114    223    219     78      0      0      0
 1973      0      0      0      0      3    188    256    235     56     15      0      0
 1974      0      0      0      4     22     87    377    115     22      0      0      0
 1975      0      0      0      0     69    162    254    265     42     19      0      0
 1976      0      0      0      8     16    123    272    188     47      9      0      0
 1977      0      0      0     19    127    172    354     95     53      0      0      0
 1978      0      0      0      0     59    169    232    199    142      0      0      0
 1979      0      0      0      0     38    135    215    215     77      9      0      0
 1980      0      0      0     19     72    136    365    298    119      5      0      0
 1981      0      0      1     18     15    152    271    183     49      4      0      0
 1982      0      0      0      0     56     62    286    209     82     17      0      0
 1983      0      0      0      0      2    198    385    405    113     18      0      0
 1984      0      0      0      4     17    154    195    243     60      0      0      0
 1985      0      0      0     37     30     87    212    108    149      0      0      0
 1986      0      0      1     13     10    169    301     92     66      0      0      0
 1987      0      0      0      7     94    253    354    208     30      0      0      0
 1988      0      0      0      0     68    257    345    384     70      1      0      0
 1989      0      0      4      9     30    131    307    193     41      8      0      0
 1990      0      0      0     24      5    175    241    209    148     11      0      0
 1991      0      0      4     17    144    253    301    232    102      7      0      0
 1992      0      0      0      0     46    123    129     96     50      6      0      0
 1993      0      0      0      0     20    154    297    233     14     12      0      0
 1994      0      0      0     12     39    212    212    167     90     12      0      0
 1995      0      0      0      0      2    195    292    398     63      8      0      0
 1996      0      0      0      1     45    186    191    172     60      1      0      0
 1997      0      0      0      0     10    164    283    165     87     63      0      0
 1998      0      0      1      0     71    137    254    249    106      3      0      0
 1999      0      0      0      0     36    157    361    126     53      1      0      0
 2000      0      0      3      0     48    100    184    208    124     13      0      0
 2001      0      0      0      8     38    143    271    221     31      5      0      0
 2002      0      0      0     13     29    202    320    150    100     13      0      0
 2003      0      0      0     16      4    106    211    248     54      7      0      0
 2004      0      0      0      8     43    108    152     90     87      0      0      0
 2005      0      0      0      7     10    227    270      0      0      0      0      0
 MEAN      0      0      0      6     42    159    261    204     72     11      0      0
