# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8339] TRIPOLI-4-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia8339   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    31 304          197
   1952   4    11 102          10     5 279          177
   1953   4    20 110          10    29 302          192
   1954   4    12 102          10    30 303          201
   1955   3    29  88          10    31 304          216
   1956   4    30 121          10     9 283          162
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    31 304          185
   1959   4    13 103          10    12 285          182
   1960   4    10 101          10    20 294          193
   1961   4    16 106          11     3 307          201
   1962   4    16 106          10    24 297          191
   1963   3    22  81          11     2 306          225
   1964   4     9 100          10     9 283          183
   1965   3    31  90          11     9 313          223
   1966   5    10 130          10    25 298          168
   1967   4    23 113          10    21 294          181
   1968   4     5  96          10    25 299          203
   1969   3    31  90          10    23 296          206
   1970   4     4  94          11    14 318          224
   1971   4     6  96          11     4 308          212
   1972   4     9 100          10    18 292          192
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     2 275          177
   1975   4     4  94          10    26 299          205
   1976   4    12 103          10     8 282          179
   1977   4     6  96          11    10 314          218
   1978   4     2  92          11     7 311          219
   1979   4    10 100          11     7 311          211
   1980   4    12 103          10    12 286          183
   1981   3    27  86          10    19 292          206
   1982   4    21 111          10    16 289          178
   1983   4    20 110           9    23 266          156
   1984   4     1  92          10    23 297          205
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     2 306          194
   1987   4     5  95          10    11 284          189
   1988   4    20 111          10     6 280          169
   1989   5     7 127          10     4 277          150
   1990   4    18 108          10    22 295          187
   1991   3    31  90          10     7 280          190
   1992   4    13 104          10    17 291          187
   1993   4     6  96          10    10 283          187
   1994   4     8  98          11     1 305          207
   1995   4     5  95          10    22 295          200
   1996   4     9 100          10    30 304          204
   1997   4    17 107          10    21 294          187
   1998   3    24  83          11     5 309          226
   1999   3    26  85          10    18 291          206
   2000   4    12 103          10     7 281          178
   2001   4     1  91          10    17 290          199
   2002   4    10 100          10    16 289          189
   2003   4    10 100          10     2 275          175
   2004   4    13 104          10    17 291          187
             MEAN=101              MEAN=294     MEAN=193
