# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8568] VINTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia8568   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    16 107          10     3 277          170
   1953   4    27 117           9    22 265          148
   1954   5    20 140          10    18 291          151
   1955   4     7  97          10    19 292          195
   1956   4    30 121          10     9 283          162
   1957   4    15 105          10    19 292          187
   1958   4    29 119          10     1 274          155
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    19 293          184
   1961   4    16 106          10    26 299          193
   1962   4    16 106          10    24 297          191
   1963   5     1 121          10    29 302          181
   1964   4    10 101          10     6 280          179
   1965   4    19 109          10    24 297          188
   1966   5    10 130          10    17 290          160
   1967   4    24 114           9    29 272          158
   1968   4    25 116          10     4 278          162
   1969   4    29 119          10    14 287          168
   1970   4    10 100          10    10 283          183
   1971   4    14 104          10     7 280          176
   1972   4     9 100           9    30 274          174
   1973   4    13 103          10    30 303          200
   1974   4    24 114           9    22 265          151
   1975   4    13 103           9    26 269          166
   1976   4    25 116          10     6 280          164
   1977   4    29 119          10    13 286          167
   1978   5     1 121          10     8 281          160
   1979   4     7  97          10     7 280          183
   1980   5     9 130          10     5 279          149
   1981   4    21 111          10     2 275          164
   1982   4    27 117           9    21 264          147
   1983   4    20 110           9    23 266          156
   1984   4    24 115           9    26 270          155
   1985   4     9  99           9    27 270          171
   1986   4    22 112          10    14 287          175
   1987   4     5  95          10     3 276          181
   1988   4    24 115          10     5 279          164
   1989   5     7 127           9    23 266          139
   1990   4    18 108          10    11 284          176
   1991   4    11 101           9    20 263          162
   1992   5     6 127           9    29 273          146
   1993   4    21 111          10    10 283          172
   1994   5     2 122          10    10 283          161
   1995   4    25 115           9    23 266          151
   1996   4    27 118          10     3 277          159
   1997   5    16 136          10    15 288          152
   1998   3    24  83          10    22 295          212
   1999   3    27  86          10    18 291          205
   2000   4    12 103          10     6 280          177
   2001   4    18 108          10     6 279          171
   2002   4    26 116          10    13 286          170
   2003   4    22 112           9    29 272          160
   2004   5     3 124          10     2 276          152
             MEAN=111              MEAN=280     MEAN=169
