# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8568] VINTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia8568
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1501   1188   1149    612    111     60      7     12    175    385   1023   1356
 1952   1373    966    980    449    214      4      0     15    100    582    782   1146
 1953   1275   1030    873    622    205     12      3      6     97    268    737   1132
 1954   1395    804   1003    357    284     41      0      5     84    424    715   1163
 1955   1368   1145    956    263     98     44      0      2     82    366    982   1371
 1956   1403   1189    963    550    157     21      1     15    118    199    827   1159
 1957   1549    967    905    442    189     26      0      1    128    454    872   1060
 1958   1279   1331    950    449    125     48      5     23     79    305    727   1396
 1959   1550   1235    941    462    133     20      9      1    142    518   1100   1005
 1960   1363   1274   1385    441    193     42      6      4    105    416    736   1303
 1961   1390   1004    889    637    262     24      0      4    164    339    797   1370
 1962   1570   1222   1105    536     88     25     11      5    174    354    779   1282
 1963   1729   1322    785    381    196      7      1     18     72    109    677   1595
 1964   1186   1072   1018    453     75     29      0     45    137    456    708   1351
 1965   1473   1245   1252    524    114     19      0     27    160    405    769    992
 1966   1643   1169    773    600    302     30      0     21    160    433    781   1255
 1967   1286   1299    836    451    313     10     35     40    158    459    897   1176
 1968   1386   1249    705    407    258     28      5     21    119    394    860   1321
 1969   1526   1122   1104    428    179     81      2      0     91    507    842   1328
 1970   1716   1171   1005    463    127     25      7      5    142    406    851   1257
 1971   1664   1250   1013    436    274      3     18      5    106    225    794   1146
 1972   1500   1367    950    532    161     37     15     15    105    488    914   1427
 1973   1306   1040    627    511    222      4      3      0    105    228    790   1323
 1974   1424   1088    838    372    236     53      0     18    199    390    782   1149
 1975   1314   1179   1173    594    111     34     10      1    220    322    646   1131
 1976   1390    930    815    380    194      8      1      7    121    591   1065   1493
 1977   1834   1069    688    304     53     13      2     18     63    428    867   1408
 1978   1725   1469   1044    468    207     23      2     10     75    486    835   1358
 1979   1819   1462    993    580    202     13      3     20     76    382    845   1063
 1980   1353   1322   1002    485    148     18      0      0     92    488    779   1217
 1981   1292   1039    763    324    219      8     17     10    112    489    769   1305
 1982   1764   1277    998    620    101     78      1     45    204    478    906   1075
 1983   1230   1009    851    588    251     24      2      0    134    423    755   1682
 1984   1449    956   1113    512    243      4      3     11    191    372    825   1180
 1985   1596   1279    797    370    106     63      2     16    176    423   1027   1681
 1986   1374   1283    772    354    126      7      0     33     71    385    981   1180
 1987   1268    876    748    344     89     11      3     35     94    530    685   1127
 1988   1529   1340    828    468     73      8      1     15     75    577    815   1207
 1989   1096   1403    955    503    235     28      0      6    166    387    886   1548
 1990   1111   1022    733    483    237     37      2      3    111    427    667   1370
 1991   1567   1029    782    398    140      1      0      5    184    444   1052   1159
 1992   1198    968    795    519    190     23     15     51    180    452    954   1283
 1993   1408   1262   1043    579    165     67      0      8    220    451    903   1205
 1994   1723   1342    836    445    188     22      3     32     99    330    732   1143
 1995   1438   1118    829    579    222     13     10      0    176    427   1032   1279
 1996   1489   1228   1046    541    294     37      4      1    156    385   1046   1341
 1997   1533   1101    841    572    306      6      8      5     76    441    950   1173
 1998   1288    807    920    421     62     73      0      0     39    356    715   1077
 1999   1481    880    891    414    135     33      0      1    143    383    612   1160
 2000   1347    945    662    414    116     36      4      3    117    293    938   1707
 2001   1361   1290   1063    314    161     55      3      2    153    439    492   1052
 2002   1068    942    990    477    241     17      0      5     74    538    884   1107
 2003   1407   1243    937    421    198     40      1      0    155    403    855   1128
 2004   1450   1186    736    414    142     39      6     64     57    394    717   1160
 2005   1426    958    864    328    233      0      2      0      0      0      0      0
 MEAN   1440   1145    918    465    180     28      4     13    126    408    833   1260
