# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8688] WASHINGTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        2.15   0.31   60(60)   26(26)    4( 4)    9( 9)    1( 1)    0      100
  2 3/8-->3/14       1.83   0.32   57(61)   20(21)   12(13)    5( 5)    0( 0)    0       94
  3 3/15-->3/21      1.07   0.26   52(62)   21(25)    9(11)    2( 2)    0( 0)    0       84
  4 3/22-->3/28      1.89   0.27   61(60)   25(25)   14(14)    1( 1)    0( 0)    0      101
  5 3/29-->4/4       2.52   0.29   69(63)   26(24)    9( 8)    5( 5)    1( 1)    0      110
  6 4/5-->4/11       1.80   0.37   49(51)   28(29)    9( 9)   10(10)    0( 0)    0       96
  7 4/12-->4/18      3.34   0.41   52(48)   25(23)   24(22)    6( 6)    1( 1)    0      108
  8 4/19-->4/25      2.65   0.38   85(57)   27(18)   25(17)    7( 5)    4( 3)    0      148
  9 4/26-->5/2       1.83   0.33   69(56)   27(22)   22(18)    6( 5)    0( 0)    0      124
 10 5/3-->5/9        2.20   0.37   65(53)   20(16)   29(24)    8( 7)    1( 1)    0      123
 11 5/10-->5/16      3.40   0.42   67(52)   26(20)   21(16)   10( 8)    4( 3)    0      128
 12 5/17-->5/23      3.19   0.36   74(59)   25(20)   15(12)    9( 7)    2( 2)    0      125
 13 5/24-->5/30      2.33   0.48   68(48)   25(17)   29(20)   17(12)    4( 3)    0      143
 14 5/31-->6/6       2.12   0.36   70(56)   25(20)   19(15)    9( 7)    2( 2)    0      125
 15 6/7-->6/13       3.45   0.46   66(49)   29(21)   23(17)   17(13)    1( 1)    0      136
 16 6/14-->6/20      4.16   0.44   70(61)   12(11)   17(15)   13(11)    2( 2)    0      114
 17 6/21-->6/27      3.14   0.48   55(51)   20(19)   18(17)   11(10)    4( 4)    0      108
 18 6/28-->7/4       2.22   0.58   42(41)   19(18)   20(19)   20(19)    2( 2)    0      103
 19 7/5-->7/11       3.05   0.52   52(47)   24(22)   17(15)   16(14)    2( 2)    0      111
 20 7/12-->7/18      3.50   0.46   53(52)   16(16)   20(20)   12(12)    1( 1)    0      102
 21 7/19-->7/25      2.70   0.44   63(52)   18(15)   28(23)    8( 7)    4( 3)    0      121
 22 7/26-->8/1       2.00   0.38   52(49)   31(29)   16(15)    8( 7)    0( 0)    0      107
 23 8/2-->8/8        4.28   0.44   62(57)   19(17)   18(17)    6( 6)    4( 4)    0      109
 24 8/9-->8/15       2.50   0.50   47(55)   14(16)    9(11)   10(12)    5( 6)    0       85
 25 8/16-->8/22      2.04   0.37   51(54)   23(24)   12(13)    8( 8)    1( 1)    0       95
 26 8/23-->8/29      6.58   0.51   51(50)   22(22)   19(19)    5( 5)    5( 5)    0      102
 27 8/30-->9/5       4.19   0.51   38(48)   18(23)   10(13)    9(11)    4( 5)    0       79
 28 9/6-->9/12       4.05   0.40   43(49)   24(28)   12(14)    6( 7)    2( 2)    0       87
 29 9/13-->9/19      3.28   0.50   53(45)   29(25)   18(15)   12(10)    5( 4)    0      117
 30 9/20-->9/26      3.29   0.50   42(41)   27(26)   19(19)   12(12)    2( 2)    0      102
 31 9/27-->10/3      1.80   0.38   35(46)   17(22)   19(25)    5( 7)    0( 0)    0       76
 32 10/4-->10/10     2.44   0.39   61(62)   10(10)   14(14)   10(10)    3( 3)    0       98
 33 10/11-->10/17    2.72   0.37   48(60)   14(18)   11(14)    5( 6)    2( 3)    0       80
 34 10/18-->10/24    2.34   0.40   47(51)   23(25)   14(15)    5( 5)    4( 4)    0       93
 35 10/25-->10/31    1.49   0.32   51(53)   23(24)   20(21)    2( 2)    0( 0)    0       96
 36 11/1-->11/7      1.81   0.35   56(60)   16(17)   12(13)    9(10)    0( 0)    0       93
 37 11/8-->11/14     1.80   0.30   43(59)   16(22)   11(15)    3( 4)    0( 0)    0       73
 38 11/15-->11/21    2.74   0.42   44(56)   12(15)   15(19)    5( 6)    3( 4)    0       79
 39 11/22-->11/28    1.19   0.24   59(66)   17(19)   10(11)    3( 3)    0( 0)    0       89
 40 11/29-->12/5     2.06   0.28   48(66)   14(19)   10(14)    0( 0)    1( 1)    0       73
