# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8688] WASHINGTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia8688 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     65     22     15     10    314    188    162    136
 1952    101     50     41     33    438    286    253    224
 1953    177     82     65     50    287    157    131    108
 1954    125     48     36     28    507    325    286    251
 1955    170     93     78     63    555    362    322    284
 1956    150     75     61     50    377    243    214    187
 1957    147     63     47     34    426    261    225    193
 1958     95     34     23     15    393    237    204    171
 1959    137     65     54     46    384    227    196    168
 1960     33     12      7      4    446    286    249    216
 1961    133     57     46     36    272    146    122    102
 1962     97     50     41     34    387    238    207    182
 1963    228    134    118    103    466    306    270    234
 1964    129     67     55     43    421    263    230    199
 1965     22      6      4      2    357    208    178    151
 1966    243    132    108     86    331    191    163    139
 1967    227    144    126    108    433    264    229    198
 1968    322    195    171    149    443    279    246    215
 1969    104     55     47     40    443    277    239    204
 1970     96     34     23     15    458    302    269    237
 1971    126     59     51     44    496    336    303    271
 1972    165     89     78     68    387    231    199    172
 1973    267    127    100     76    373    219    187    159
 1974    210    109     92     78    518    340    302    266
 1975     90     47     38     30    336    194    165    141
 1976    229    119     99     81    505    333    293    258
 1977    281    156    133    113    600    413    369    328
 1978    109     57     47     38    404    246    216    188
 1979    138     77     65     54    308    170    144    119
 1980    128     54     41     32    420    261    227    198
 1981    261    140    118    101    572    378    336    296
 1982    140     54     40     31    342    215    188    162
 1983    186    105     88     73    268    140    120    103
 1984     63     18     11      5    329    188    159    133
 1985    235    118     97     77    562    384    346    312
 1986    267    165    146    128    538    366    330    294
 1987    234    128    111     96    532    357    321    287
 1988    231    130    109     90    416    270    241    212
 1989    207    122    105     90    436    271    237    204
 1990    258    143    120    100    416    260    227    197
 1991    259    147    123    104    476    303    266    230
 1992    230    118     96     76    384    233    201    175
 1993     93     43     33     25    334    187    159    135
 1994    205    110     92     77    462    309    276    245
 1995    235    141    123    105    348    205    176    148
 1996    128     59     46     35    405    254    222    193
 1997    224    118     97     79    329    197    170    146
 1998    188    115    101     91    389    221    190    161
 1999    144     70     56     43    381    220    189    161
 2000    264    153    132    113    367    223    197    172
 2001     67     19     11      6    481    311    276    241
 2002    137     63     48     36    358    221    194    169
 2003    167     93     81     70    408    269    240    211
 2004    214    110     90     72    443    288    252    217
 2005    149     78     66     55    475    307    268    233
     ****************************  ****************************
 MEAN  169.6   88.6   73.6   60.7  417.0  261.2  228.7  198.8
 STDV   69.9   44.7   39.8   35.2   78.0   63.2   59.0   54.6

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    732    511    460    412    804    571    514    459
 1952    682    456    410    365   1044    804    744    686
 1953    669    448    401    356   1021    781    721    662
 1954    575    380    338    298    997    759    701    644
 1955    756    521    469    423    847    609    553    498
 1956    787    569    520    472   1017    781    724    667
 1957    672    446    397    351    925    687    629    572
 1958    720    506    461    417    817    577    518    461
 1959    781    552    500    449    969    729    669    611
 1960    652    436    385    339    857    618    561    506
 1961    603    403    361    320    929    692    634    582
 1962    893    649    592    536    919    679    621    564
 1963    675    455    406    360    991    754    696    638
 1964    850    608    551    498    945    708    650    593
 1965    830    599    546    494    901    661    603    547
 1966    588    394    351    315    910    674    616    559
 1967    576    388    347    308    934    694    636    580
 1968    617    410    367    328    988    748    688    630
 1969    731    511    461    414    840    606    551    499
 1970    840    606    550    499    950    710    651    592
 1971    645    442    398    356   1076    836    776    716
 1972    752    527    476    427    909    675    617    561
 1973    638    417    366    318    986    746    686    626
 1974    692    470    421    375    858    619    560    502
 1975    810    572    520    469    966    726    666    607
 1976    651    441    395    352    947    707    647    587
 1977    931    693    635    578    999    760    701    642
 1978    691    472    423    376    967    727    669    611
 1979    735    516    469    423    970    730    671    613
 1980    803    574    518    465    945    705    646    589
 1981    652    442    397    354   1008    768    708    648
 1982    825    587    530    474    830    593    536    484
 1983    599    388    345    304    984    745    688    632
 1984    624    416    372    331   1002    762    702    643
 1985    800    560    504    453    878    641    584    527
 1986    742    508    455    404   1009    770    711    653
 1987    886    650    596    546   1029    789    729    670
 1988    830    592    540    490   1001    762    703    646
 1989    669    459    412    368    900    661    604    547
 1990    597    379    333    289    963    723    665    607
 1991    853    623    569    516   1030    790    730    670
 1992    707    493    447    403    906    667    608    551
 1993    728    497    444    393    887    654    597    541
 1994    714    491    442    398    996    756    696    637
 1995    623    391    340    295    966    726    666    606
 1996    608    387    339    295    948    708    648    590
