# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8688] WASHINGTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia8688
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  33   2  38   4  47   4  40   5  40  11  34   5  32  12  32   9  35   6  43   4  40   3  41   3
  2  30   3  39   3  38   4  42   5  43  10  36   7  31  13  36   8  34   8  40   7  38   4  33   2
  3  35   3  35   5  33   3  44   5  37  11  37   6  32  12  35  10  37   4  40   7  35   2  33   6
  4  36   4  42   3  40   5  48   5  40   3  36   9  33   8  31  12  39  11  38   3  39   4  31   5
  5  39   3  36   3  42   5  47   4  44   5  34   8  33   7  33  10  35  12  38   5  38   4  35   1
  6  34   2  36   4  42   3  42   7  44   9  33  12  32  11  33   9  39   9  38   6  35   2  38   2
  7  32   4  35   4  41   5  44   9  37   5  35  10  36   9  34   9  37  11  41   5  38   6  35   3
  8  36   2  30   3  42   5  38   5  43   3  35   9  32  12  34   7  37   7  39   9  36   3  30   4
  9  38   3  33   5  40   5  44   5  42   6  36  14  35  13  31  12  38   3  37   5  40   5  33   5
 10  39   5  46   4  35   1  40   6  41  12  35   8  34  13  36  13  39   7  44  10  38   4  36   5
 11  39   3  39   5  46   5  43   2  39   9  35   9  33   7  34   9  39   8  42   4  40   2  33   4
 12  33   2  42   4  40   4  48   3  40   6  32   8  30  12  31   8  43  12  43  12  46   5  28   3
 13  32   2  42   3  36   6  41   7  41   8  33   7  32  12  32  12  34   9  36  10  40   4  39   4
 14  33   4  40   2  37   4  40   6  41   7  36  13  36   7  37   6  41   7  42   8  38   6  30   1
 15  48   4  37   3  42   5  40   9  37  12  32  11  31  10  32  12  39  10  40   7  40   4  34   4
 16  43   3  38   4  38   6  37  12  39   7  31  13  31  12  33  10  40   8  38   8  35   5  33   4
 17  31   4  34   4  36   5  47   8  34   8  33  13  32  11  32  11  36   5  35   8  35   4  35   1
 18  56   4  38   3  38   3  34   9  47   4  35  12  31  14  33  13  38   9  48   7  43   5  33   5
 19  47   3  35   3  35   4  36   6  37   8  34  12  34  11  32   9  41   3  40   5  37   4  41   2
 20  38   2  36   6  34   4  39   7  36  12  37  10  34  10  35  12  40   8  39   3  36   7  26   2
 21  38   2  38   1  36   5  36   6  38  10  32   9  35   6  35   9  39   8  39   4  37   5  41   4
 22  42   2  36   6  46   4  43   7  38  10  37   9  32  11  36  12  47  10  39   3  36   3  37   2
 23  37   3  35   2  38   3  44   8  40  11  35  12  31  11  38  10  41   6  37   5  33   5  34   4
 24  45   3  36   6  46   7  36  10  35   8  32  14  31  10  37   8  41   4  45   2  37   3  41   3
 25  46   2  40   7  45   5  37   8  34   4  35  14  34  11  35  10  40   8  40   5  30   5  35   3
 26  40   4  35   5  45   3  38   5  34   7  35  14  35   7  36   9  46   6  41   3  40   3  35   2
 27  30   5  35   2  42   2  38   9  35   7  30  11  33   8  37   7  41   6  40   5  34   2  34   5
 28  41   4  36   5  37   5  42   6  37   5  37  11  34  10  39  11  49   3  34   4  35   3  37   3
 29  34   2  41   7  40   5  39   9  36  10  34  10  34  14  32   8  43  12  39   7  33   4  39   3
 30  38   3  **  **  44   5  44   7  34  10  30  13  30  10  36   8  39   9  38   6  38   4  33   4
 31  39   3  **  **  45   5  **  **  37  13  **  **  35   4  42  11  **  **  43   4  **  **  36   3
