# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8706] WATERLOO
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia8706 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     16      1      0      0    207    110     91     74
 1952     58     27     23     20    377    242    215    190
 1953    137     59     44     31    203     92     73     57
 1954     52     15     11      7    414    248    214    183
 1955    106     49     38     28    475    299    261    227
 1956     55     21     15     10    272    162    140    118
 1957     95     35     24     16    356    215    187    165
 1958     62     17     10      6    311    178    149    122
 1959     60     22     16     12    301    163    141    120
 1960     16      3      1      0    350    216    190    167
 1961     64     29     23     18    191     93     74     57
 1962     34     21     19     17    305    174    151    129
 1963    150    100     89     78    373    224    192    163
 1964     68     26     19     15    293    176    153    132
 1965      6      0      0      0    225    122    103     88
 1966    188     98     81     64    218    109     89     70
 1967    155     92     79     67    308    173    143    118
 1968    224    135    118    101    387    239    206    176
 1969     41     16     12      8    318    180    150    122
 1970     29      6      4      3    340    215    190    165
 1971     55     28     23     20    331    205    176    150
 1972     67     23     18     15    255    135    113     91
 1973    175     69     52     40    263    149    127    107
 1974     75     26     19     14    369    222    193    166
 1975     26      1      0      0    221    111     93     77
 1976    139     75     63     55    388    246    214    182
 1977    184     91     73     57    434    287    254    226
 1978     93     49     40     32    267    146    122    100
 1979     63     25     19     13    238    128    106     88
 1980     70     24     17     12    345    217    191    166
 1981    185     92     76     63    423    255    221    191
 1982     84     34     26     21    264    159    138    118
 1983    102     51     42     35    214    116     97     83
 1984     19      1      0      0    262    139    114     90
 1985    151     67     53     40    462    304    274    245
 1986    183    106     91     80    411    255    223    191
 1987    158     79     65     52    423    278    249    223
 1988    142     64     51     39    333    207    180    155
 1989    118     66     57     49    323    182    155    131
