# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8706] WATERLOO
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia8706
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  26  10  24   7  37  18  50  31  66  42  75  52  83  60  83  61  79  56  70  44  53  35  36  20
  2  26   9  24   7  36  20  53  31  66  43  74  52  83  61  83  61  80  57  69  43  51  32  36  20
  3  24   6  25   6  36  20  51  31  66  44  76  51  82  61  83  61  79  56  67  43  51  31  37  19
  4  23   5  26   7  37  19  50  30  68  45  78  54  82  61  82  61  78  54  66  42  49  30  37  18
  5  25   5  27   8  35  20  53  31  68  45  79  55  82  60  81  60  78  54  66  42  48  28  35  18
  6  23   6  26   7  36  18  55  31  66  43  79  57  83  60  82  61  78  55  64  41  47  29  32  16
  7  21   2  25   6  36  16  56  32  67  44  79  57  84  62  83  60  79  54  64  41  49  28  33  16
  8  23   5  27   9  36  18  51  32  69  46  78  56  84  62  82  60  77  54  64  40  47  28  31  15
  9  23   5  28   9  38  18  53  31  69  46  78  55  82  61  82  59  77  53  62  39  48  28  31  15
 10  22   4  29  11  40  20  55  32  70  46  80  57  83  60  81  58  76  52  64  38  47  27  31  12
 11  24   6  28  10  40  24  56  34  69  47  80  58  84  62  81  57  77  50  65  40  47  27  30  13
 12  26   8  28  11  40  24  55  35  69  45  81  58  84  63  82  58  76  51  64  40  46  27  30  12
 13  26   8  30  12  40  24  57  35  70  46  82  59  84  62  81  59  74  51  64  40  47  28  29  12
 14  25   8  31  13  41  23  57  36  71  48  80  58  83  62  81  59  72  50  65  41  46  27  30  14
 15  24   5  30  12  40  23  60  36  71  48  79  58  84  61  82  58  71  50  63  40  48  27  30  13
 16  24   6  30  12  42  23  60  37  72  49  79  57  85  62  82  59  71  48  63  39  46  27  30  12
 17  24   5  32  14  42  24  62  36  73  49  81  58  85  64  82  59  73  50  62  39  48  28  27  11
 18  25   6  33  17  42  25  62  39  73  50  81  60  85  65  81  58  74  51  59  36  45  26  29  12
 19  24   5  33  16  43  26  61  39  73  49  82  59  84  64  81  59  72  50  59  35  43  25  29  12
 20  24   4  34  15  43  25  61  40  74  49  81  58  84  63  81  57  70  48  60  37  42  24  27  10
 21  26   8  33  16  43  24  62  38  74  49  81  59  83  63  81  59  69  46  61  36  41  23  27  10
 22  27   9  33  15  46  24  62  38  72  51  80  59  83  63  80  58  68  45  60  38  42  23  28  13
 23  25   7  33  18  46  25  61  39  72  51  81  58  84  62  80  58  66  43  58  38  40  22  28  12
 24  25   6  34  16  44  25  64  39  72  50  82  59  84  61  80  57  68  44  57  36  41  20  26   9
 25  23   6  34  15  46  27  65  41  72  50  83  60  84  62  81  58  70  45  57  35  40  23  26   9
 26  23   5  35  17  46  26  66  41  72  51  83  61  84  62  81  59  71  44  58  35  39  21  28  10
 27  22   6  35  18  50  28  64  42  72  51  83  61  83  62  80  60  69  45  58  35  36  19  28  11
 28  23   6  36  18  50  31  63  40  73  52  84  61  83  62  82  58  70  44  55  33  33  16  29  12
 29  24   7  37  18  49  29  65  41  74  53  83  62  83  61  82  59  69  45  56  33  34  18  27  10
 30  24   4 *** ***  50  29  65  41  75  53  83  61  83  62  80  59  70  44  56  35  36  18  27   8
 31  26   6 *** ***  52  31 *** ***  75  52 *** ***  83  60  79  58 *** ***  55  35 *** ***  26  10
