# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8755] WAUKON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia8755
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  37   4  32   5  33   3  38   3  37   6  42   9  33   9  31   6  32   7  37   8  29   4  30   4
  2  28   5  47   5  30   4  43   6  35   3  35   5  28  12  30  12  34   4  42   7  39   4  29   5
  3  33   2  30   3  30   6  40   6  33   4  33   8  30   8  31  10  37   5  35   5  37   3  28   2
  4  34   2  45   3  34   3  56   6  34   7  30   9  30   7  27  10  38  12  38   6  36   5  36   5
  5  35   2  39   4  31   4  40   7  36   4  32   9  36   8  36   8  31   3  33   7  32   3  32   3
  6  33   3  31   1  35   5  40   7  37   8  32   7  28  12  32   3  34  11  38   6  33   5  38   4
  7  35   4  35   3  41   8  37   9  38   8  31   6  32   8  31   6  35   6  34   6  33   4  34   2
  8  38   5  34   5  39   5  36   4  42   3  37   6  31   8  33   5  42   6  40   4  33   6  25   4
  9  31   1  36   6  43   6  34   3  40   6  34   9  30  10  31  11  40   8  39   6  39   4  36   1
 10  34   5  34   3  36   4  34   6  38  10  36   6  35  11  39   8  36   5  33   5  31   4  32   4
 11  42   5  42   4  37   5  38   5  40  10  34  10  35   8  28   3  32   5  41   6  31   3  32   3
 12  32   4  37   4  30   7  36   5  36   7  28  10  30  12  28   9  38   6  39  10  32   4  30   3
 13  45   3  34   3  40   2  35   5  40   7  33  11  34   9  29   7  32   9  36   4  33   3  41   2
 14  39   3  35   2  40   3  39   6  36  11  34   9  32   8  35   6  38   6  39   6  35   6  33   3
 15  34   4  34   4  45   4  40   3  32   5  35   7  30   7  34   5  36   6  32   6  37   2  31   2
 16  36   2  34   6  36   5  42   7  36  10  33   7  30  12  33   9  33   8  40   6  33   0  40   4
 17  37   4  37   2  35   3  46   4  42   9  34   5  28  11  32   6  41   6  35   7  31   4  35   3
 18  33   6  32   3  34   6  36   6  39   6  32   6  33  12  33  10  34   6  44   4  39   4  31   3
 19  44   6  26   4  31   3  49   5  36   8  30   6  29  11  37   7  41   8  36   6  39   5  39   4
 20  38   4  37   5  29   3  34   6  37   8  31   7  29   9  33   5  36   8  37   7  29   3  32   4
 21  32   3  35   3  41   4  40   5  37  12  30  11  27  10  34   8  33   5  38   8  32   5  42   5
 22  40   4  37   2  38   6  33   7  41   3  31   8  28   7  33  11  32   6  33   3  29   5  33   4
 23  31   3  34   3  36   4  44   7  32   9  30  12  32   5  32   6  31   4  34   5  29   4  37   4
 24  30   6  36   1  41   7  37   5  31   6  33   7  30  10  30   9  35   6  37   5  39   3  41   4
 25  34   4  39   5  36   4  33   2  36   7  28  10  29   7  36   9  42  10  37   7  30   3  27   3
 26  38   6  33   6  38   4  36  10  44   5  28   7  32  10  30   7  38   7  33   3  29   3  36   4
 27  32   4  37   5  38   7  40   6  39   7  28  10  33   8  33  10  35   5  35   3  40   3  37   4
 28  43   4  30   5  35   6  47   4  35   5  32   7  32   9  30   7  37   5  34   6  31   4  34   3
 29  31   4  28  11  35   2  39   0  35  10  30   9  31   5  30   9  38   5  33   6  28   4  41   5
 30  40   3  **  **  35   3  39   6  38   6  30   8  26   9  33   4  34   8  36   5  38   4  29   5
 31  41   5  **  **  40   5  **  **  34   9  **  **  34   7  31  10  **  **  42   4  **  **  38   1
