# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8755] WAUKON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia8755   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    31 304          197
   1952   4    11 102          10     5 279          177
   1953   4    18 108          11     4 308          200
   1954   4     9  99          10    30 303          204
   1955   3    29  88          10    24 297          209
   1956   4    30 121          11     9 314          193
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   4    11 101          11     2 306          205
   1960   4    10 101          10    20 294          193
   1961   4    17 107          11     3 307          200
   1962   4    16 106          10    24 297          191
   1963   4     4  94          11     2 306          212
   1964   4     4  95          10    10 284          189
   1965   3    30  89          11     9 313          224
   1966   3    28  87          11     2 306          219
   1967   5     3 123          10    28 301          178
   1968   4     5  96          11    12 317          221
   1969   4     1  91          10    23 296          205
   1970   4     2  92          11    15 319          227
   1971   4     5  95          11     4 308          213
   1972   4     9 100          10    19 293          193
   1973   4    11 101          11     5 309          208
   1974   4     8  98          11    14 318          220
   1975   4     5  95          11    13 317          222
   1976   3    22  82          10    22 296          214
   1977   4     6  96          11    11 315          219
   1978   3    24  83          11    15 319          236
   1979   4    10 100          10    26 299          199
   1980   4    11 102          10    28 302          200
   1981   4     6  96          10    19 292          196
   1982   4    11 101          10    21 294          193
   1983   4    19 109          11     4 308          199
   1984   3    29  89          11     2 307          218
   1985   4     9  99          11     8 312          213
   1986   4    22 112          11     2 306          194
   1987   4     4  94          10    11 284          190
   1988   4    19 110          10    25 299          189
   1989   4    13 103          11     2 306          203
   1990   4    12 102          11     7 311          209
   1991   3    30  89          10    19 292          203
   1992   4    12 103          10    17 291          188
   1993   4     4  94          10    31 304          210
   1994   4     8  98          11     1 305          207
   1995   4     6  96          11     3 307          211
   1996   4    10 101          10    31 305          204
   1997   4    18 108          10    22 295          187
   1998   3    24  83          11     7 311          228
   1999   3    26  85          10    24 297          212
   2000   4     8  99          11    11 316          217
   2001   4     1  91          11    20 324          233
   2002   4     6  96          10    13 286          190
   2003   4    10 100          10    27 300          200
   2004   4    27 118          11    12 317          199
             MEAN= 99              MEAN=303     MEAN=204
