# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8755] WAUKON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   4  11   8   8   7   8  10   7   7   5   2  81
1952     7   1   7   4  10   7   6   6   2   0   3   6  59
1953     3   4   5   8   5   8   6   4   4   3   4   5  59
1954     1   2   3   8   5   6   7   7   5   8   1   4  57
1955     0   3   3   6  11   7   6   7   6   7   4   3  63
1956     2   1   4   3  11   5   8   8   2   6   4   2  56
1957     0   0   2   6  13   8   9   8   4   4   6   2  62
1958     2   0   0   4   3  12   8  10   5   6   2   2  54
1959     2   3   6   7  11   8   7  10  10   8   6   3  81
1960     3   1   4   7  15  10   6  10   6   6   4   1  73
1961     0   3  10   6   3   6  11   6  10   8   5   5  73
1962     0   7   5   7   8   6  10   7   5   6   1   3  65
1963     1   1   5   6   5   5   9   5   6   5   5   2  55
1964     1   1  10   8   9   3   4   8   9   2   8   2  65
1965     2   4   6  16   9   8   5  13  18   6   6   5  98
1966     3   4   7   6   8   8   5   5   4   4   5   5  64
1967     3   3   6   7   7  13   5   7   4   7   6   5  73
1968     3   1   5  12   8  14  11   4  12   6   4   6  86
1969     6   0   3   8  13  15  11   4   8   8   4   8  88
1970     1   1   4   8  12   8   8   2  12   8   6   4  74
1971     2   5   4   7   6   8   8   5   9   8   6   8  76
1972     4   3   6  10   7  10  10  10   9   7   1   6  83
1973     4   5   4  12   9   7   7   9  12   6   5   7  87
1974     4   4   5   8  11   8   9   8   5   6   4   6  78
1975     5   3   7   9   9  12   3  10   6   2  10   3  79
1976     1   3   8   9   7   7   7   6   3   5   0   3  59
1977     4   2  10   6   9  10   9   8  10   9   7   5  89
1978     3   7   3   9   6   8  11   6   6   5   7   0  71
1979     0   4   4  10   9  10   9  15   3   7   8   3  82
1980     7   4   4   7   9   7   7  12   7   4   2   4  74
1981     1   5   4  11   7  12   5  12   7  10   6   6  86
1982    10   2   9   8  17  10  11   7   8   5   8   7 102
1983     4   0   6  10  16   9   7  10   6   7  11   5  91
1984     3   2   5   9  10  11   7   4   5  15   4   9  84
1985     1   1   7   7   5   7   3   7   9   7  10   0  64
1986     2   4   4  10  12  10   9   5  12   8   4   2  82
1987     3   0   4   6   9   8   8  10   4   5  10   9  76
1988     2   0   2   7   2   4   6   7   7   3  10   5  55
1989     5   6   4   7   7   5   5   8   6   6   5   1  65
1990     4   0   6  10   9  14   8   9   3   4   4   3  74
1991     6   2   6  15  10   5   6   7  10  10  12   6  95
1992     5   5   7   9   5   5  12   7  10   3   6  10  84
1993     6   5   7  10  14  13   9   8  10   5   4   7  98
1994    10   9   2   9   7   8  10   7   9   5   4   4  84
1995     7   1   9  11   9   7   7   9   3  10   5   4  82
1996     8   2   7   5  16  10   7   6   7   7  11   7  93
1997    11   6   7   5   6   7  12   8   6   2   2   4  76
1998     7   7  12  11   8  15   6  14   6  12   4   4 106
1999    14   4   4  12  12   8  13  11   6   7   5   6 102
2000     7   3   9   6  12  15   7   7   6   5   8  12  97
2001     8   8   4  10  11  11   5   7   8   7   6   7  92
2002     5   9  12  12  10  12  10   8   9  13   5   6 111
2003     8   8   9  12  15  12  10   5   9   9  12   9 118
2004     8  10  19   8  18  13  11  14   3  10   8   7 129
2005    14  10  10   8  15  14   8   0   0   0   0   0  79
STDDEV   3   3   3   3   4   3   2   3   3   3   3   3  17
AVG      4   4   6   8   9   9   8   8   7   6   6   5  80
