# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8806] WEBSTER-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia8806   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    31 304          197
   1952   4    10 101          10     5 279          178
   1953   4    20 110          10    27 300          190
   1954   4    12 102          10    31 304          202
   1955   3    28  87          10    31 304          217
   1956   4    24 115          10     9 283          168
   1957   4    14 104          10    25 298          194
   1958   4     8  98          10    28 301          203
   1959   4    13 103          11     5 309          206
   1960   4    10 101          10    20 294          193
   1961   4    16 106          10    20 293          187
   1962   4    15 105          10    24 297          192
   1963   3    22  81          10    29 302          221
   1964   3    30  90          10     9 283          193
   1965   3    30  89          11     1 305          216
   1966   4    21 111          10    24 297          186
   1967   4    24 114          10    11 284          170
   1968   4     5  96          10    25 299          203
   1969   3    31  90          10    27 300          210
   1970   4     2  92          11    15 319          227
   1971   4     6  96          11     4 308          212
   1972   4     8  99          10    19 293          194
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     2 275          177
   1975   4     4  94          10    29 302          208
   1976   3    22  82          10     8 282          200
   1977   4     6  96          11    11 315          219
   1978   3    25  84          11    14 318          234
   1979   4     6  96          10    13 286          190
   1980   3    25  85          10    12 286          201
   1981   3    23  82          10    22 295          213
   1982   4    11 101          11     4 308          207
   1983   4    15 105          11    17 321          216
   1984   3    31  91          10    23 297          206
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     2 306          194
   1987   4     5  95          10     3 276          181
   1988   4    19 110          10    12 286          176
   1989   4    15 105          10     4 277          172
   1990   4    18 108          10    19 292          184
   1991   4     1  91          10     7 280          189
   1992   4    12 103          10    17 291          188
   1993   4     5  95          10    31 304          209
   1994   4     7  97          10    26 299          202
   1995   4     4  94          10    22 295          201
   1996   4    23 114          10    31 305          191
   1997   4    17 107          10    22 295          188
   1998   3    24  83          11     6 310          227
   1999   3    27  86          10     4 277          191
   2000   4    12 103          10     7 281          178
   2001   3    28  87          10    17 290          203
   2002   4     6  96          10    20 293          197
   2003   4    10 100          10     2 275          175
   2004   4    14 105          11     3 308          203
             MEAN= 98              MEAN=296     MEAN=198
