# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8806] WEBSTER-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    1    0    0    0
 Sep 14    2    0    0    0
 Sep 16    5    0    0    0
 Sep 18    9    0    0    0
 Sep 20   15    1    1    0
 Sep 22   24    4    2    0
 Sep 24   32    6    2    0
 Sep 26   36   10    3    0
 Sep 28   46   15    7    1
 Sep 30   57   25   11    1
 Oct 02   61   29   14    3
 Oct 04   67   36   17    4
 Oct 06   73   45   22    4
 Oct 08   80   50   28    9
 Oct 10   87   56   35   14
 Oct 12   90   63   44   17
 Oct 14   93   68   47   19
 Oct 16   97   73   53   21
 Oct 18   97   77   59   28
 Oct 20   98   82   63   34
 Oct 22   98   84   69   40
 Oct 24   99   88   76   45
 Oct 26   99   90   82   51
 Oct 28  100   95   89   60
 Oct 30  100   95   90   66
 Nov 01  100   96   91   71
 Nov 03  100   98   95   78
 Nov 05  100   99   98   85
 Nov 07  100  100  100   87
 Nov 09  100  100  100   92
 Nov 11  100  100  100   96
 Nov 13  100  100  100   98
 Nov 15  100  100  100   99
 Nov 17  100  100  100   99
 Nov 19  100  100  100   99
 Nov 21  100  100  100   99
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
