# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9067] WILLIAMSBURG
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     0   0   0   7  13  15  12   8   5   9   5   8  82
1952     5   5  13   7  10   9   6   7   3   0   4   6  75
1953     4   3   7  10   6  10   3   2   4   3   3   7  62
1954     2   4   6   9   8   8   4  13   4   7   2   6  73
1955     6   5   4   9  11  10   7   6   9  10   1   3  81
1956     6   6   2   6   8   8  10  10   3   5   4   6  74
1957     5   2   6  12  11  12   6   6   5   4   7   3  79
1958     4   1   4   9   3   9  13  10  10   4   6   1  74
1959     6   4   7   9  11   4   8   7  10   9   7  11  93
1960     5   7  12   8  14  12   7   6   8   6   5   4  94
1961     3   5  11   9   7   7  14   7  10   8   7   6  94
1962     6   9   8  12  11   9   9   5   5   8   3   3  88
1963     6   5   8  12   9   0  10   6   6   5   7   4  78
1964     2   2   9  13  10   9  10   6  12   0   7   7  87
1965     7   5  10  11  10  11   9  14  12   6   3   6 104
1966     4   4   7  10  10  10   5   5   5   4   3   5  72
1967     3   4   4  11   8  12   7   8   4  12   4  12  89
1968     4   2   4   9   7   8   7   7  14   7   5   8  82
1969     9   3   4   9  11  14  14   3  12  10   3   7  99
1970     5   0   6   8  13  10   7   9  12  11   8   4  93
1971     2   6   3   7  10   9  10   3   6   9   6   9  80
1972     2   7   9  11  13  10  10   6   8   9   9   5  99
1973     4   4   8   6  12  10   7   6  15   5   6   8  91
1974     8   2   8   7  12   8   7  13   6   6   6   7  90
1975     5   5   5  10   9   9   2   9  10   1  11   1  77
1976     1   5   8   9   8   8   7   5   3   5   1   2  62
1977     6   2  10   7   7   6  10  12   9   9   6   7  91
1978     2   5   6   9  11   7   8   7   6   5   9   7  82
1979     7   3  10   8   7   7   6   8   3   6   5   1  71
1980     6   4   5   6   9   8   8  10   9   5   3   3  76
1981     0   6   1  12   5   6   7   6   5   5   9   5  67
1982     9   2   7   5  13   8  10   7   6   5   6   6  84
1983     4   5   9   8  13   5   3   8   9   9  10   7  90
1984     3   2   7  11   9  10   8   2   6  14   3   6  81
1985     3   4   6   2   8   8   8   6   8  10  10   5  78
1986     2   7   6   6  13   7   8   5  13   8   3   2  80
1987     1   2   8   4   6   8   7   6   5   1   9   7  64
1988     3   3   3   5   2   4   4   7   7   3   9   3  53
1989     2   2   2   5   9   7   5   7   6   6   1   3  55
1990     4   5  12  10  13   8  13  11   6   6   6   5  99
1991     5   2  12  11   9   8   4   8   9  10  17   8 103
1992     7   7  12  12   8   4  18   7  13   4  13  10 115
1993     8   7   9  15  18  13  20  17  12   5   7   9 140
1994    10   5   3   8   7  12  11  10  10   6  13   6 101
1995     9   4   7  18  13  11   7   9  10  11   8   5 112
1996     9   5   6   6  18  16  10   7   8   9  11  11 116
1997    13   9   8  11  10  12   8  11  11   9   8   9 119
1998    10  11  12  15  15  16   6  14   6  13   6   2 126
1999     8   6   6  13  11  12   9   6   6   3   2  10  92
2000     7   6   5   7  11  16  11   9   7   6   6  10 101
2001     9  10   6  13  19  11   9   7   9   9   7   8 117
2002     6   8  11  14  12  11   8   8   3  13   6   2 102
2003     7   5   6   9  10  13  11   6   7   5  10   6  95
2004     6   7  12   3  11  12  12  12   2  10  13   6 106
2005     8   9   6   9   6  10   7   0   0   0   0   0  55
STDDEV   3   2   3   3   3   3   3   3   3   3   3   3  18
AVG      5   5   7   9  10   9   8   8   7   7   6   6  88
