# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9132] WINTERSET
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia9132
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  56 -16  58 -23  76 -35  84  18  89  26  90  36  99  48 100  52  98  35  91  28  77  18  64  -1
  2  56 -15  67 -27  74 -12  86  10  90  25  91  41  96  50  99  51  96  38  93  22  78   7  65  -3
  3  56 -15  59 -31  79   0  82  10  91  27  94  34  99  45 101  48 100  37  90  27  76   7  63  -8
  4  51 -19  56 -22  70 -16  80  11  90  29  92  40 101  45 103  41  94  36  93  24  73   0  64  -1
  5  64 -20  55 -25  67 -27  84  19  88  32  92  43 103  41  98  42  93  35  93  26  70  10  66  -5
  6  54 -23  61 -19  72 -18  86   9  87  29 103  41 103  44  98  49  96  36  92  20  75  10  67  -8
  7  47 -21  62 -17  73  -7  80  14  92  26  93  44 104  48  99  45  98  36  88  23  74  -8  60 -12
  8  61 -17  63 -31  78  -5  79  18  89  29  99  44  95  53  97  46  96  40  84  20  76  -7  55 -12
  9  67 -19  60 -29  78  -5  82  16  90  29  97  42  98  49  96  45 100  39  82  21  80  13  57 -17
 10  58 -25  60 -17  73  -2  86  19  87  24  91  40  98  47  98  46  93  37  88  19  75  10  60 -11
 11  53 -20  67 -19  82  -2  85  19  90  30 101  41 101  50  95  43  93  34  85  18  73   8  63 -10
 12  57 -28  70 -21  75 -11  84  18  94  29  95  43 102  51  99  45  97  31  88  24  70  -6  65 -14
 13  61 -27  65 -15  74 -11  79  18  90  29  95  41 102  47  99  40  91  36  88  25  70  -3  54 -17
 14  58 -30  68 -11  69  -8  85  20  91  32  96  47 103  46 103  45  94  34  88  23  80  -2  59 -18
 15  56 -20  64 -10  77  -2  85  21  88  32  93  42 102  46 105  44  97  37  87  25  72   4  56 -17
 16  59 -22  66 -23  78   3  88  21  86  30  93  43  99  49 106  50  96  34  85  22  75   2  62 -17
 17  58 -21  69 -31  75   5  88  23  88  36  96  44 100  47 103  46  95  33  84  17  75  -3  57 -10
 18  63 -21  67 -17  75   3  92  20  90  36  98  45 100  53 103  45  95  34  86  23  74   7  61 -18
 19  56 -27  62 -15  71   4  90  19  89  37  98  47 101  50 100  46  92  30  83  13  75  11  65 -15
 20  58 -23  64 -13  78   6  88  23  91  31 101  44 104  50  98  43  89  28  87  16  66   8  57 -15
 21  60 -31  66  -7  72  -2  91  18  89  34 101  40 101  45  98  46  90  31  88  23  72   1  55 -21
 22  57  -9  65  -8  83  10  92  23  89  31  98  43 106  49  99  50  88  27  80  14  70   2  57 -24
 23  59 -22  63 -17  81   0  87  17  90  29  94  44  99  49  98  45  84  30  82  15  66   4  64 -25
 24  64 -16  64 -11  82   3  89  15  95  36 101  44  94  49  99  45  89  31  81  18  62   2  53 -18
 25  59 -12  70 -10  79   2  89  27  97  33  99  45  95  50  99  40  88  31  79  20  70  -4  55 -17
 26  60 -18  67 -27  85  -1  91  31  92  34  97  49 103  46 104  45  90  29  84  19  71   0  56 -21
 27  67 -23  68 -11  80   1  89  29  89  35  96  45 102  45 102  43  92  30  80  12  68   3  55  -9
 28  62 -20  71 -21  82   5  90  27  92  35  98  51 103  51 102  38 100  28  82  12  68  -8  68 -11
 29  59 -24  73 -10  89   5  89  18  92  38  97  47 101  46 100  45  98  27  78  15  62  -5  64  -6
 30  57 -19 *** ***  83   7  88  29  91  39  99  47 104  41  98  46  92  26  79  17  70  -8  60 -16
 31  65 -24 *** ***  83  14 *** ***  90  37 *** *** 104  42  95  39 *** ***  83  18 *** ***  60 -19
