# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9132] WINTERSET
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia9132   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    24 297          190
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   4     5  95          10    18 291          196
   1955   3    28  87          10    15 288          201
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    19 292          188
   1958   4    29 119          10    30 303          184
   1959   4    22 112          10    12 285          173
   1960   4    10 101          10    20 294          193
   1961   5     2 122          10    20 293          171
   1962   4    17 107          10    24 297          190
   1963   4     4  94          10    29 302          208
   1964   4     9 100          10     9 283          183
   1965   4    19 109          10    24 297          188
   1966   4    21 111          10    24 297          186
   1967   4    24 114          10    11 284          170
   1968   4     5  96          10     4 278          182
   1969   4     6  96          10    14 287          191
   1970   4     4  94          10    16 289          195
   1971   4    14 104          11     6 310          206
   1972   4     8  99          10    15 289          190
   1973   4    13 103          11     5 309          206
   1974   3    25  84           9    30 273          189
   1975   4     5  95          10    16 289          194
   1976   4    12 103          10     6 280          177
   1977   4     7  97          10    16 289          192
   1978   3    27  86          10    28 301          215
   1979   5     1 121          10    13 286          165
   1980   4    13 104          10     5 279          175
   1981   5    10 130          10     2 275          145
   1982   4    11 101          10    21 294          193
   1983   4    19 109          11    23 327          218
   1984   3    19  79          11     2 307          228
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     5 309          197
   1987   4     4  94          10    11 284          190
   1988   4    19 110          10     5 279          169
   1989   4    12 102          10    20 293          191
   1990   4    18 108          10    25 298          190
   1991   3    30  89          10    15 288          199
   1992   4    12 103          10    17 291          188
   1993   4     5  95          10    29 302          207
   1994   4     7  97          10    26 299          202
   1995   4     5  95          10    22 295          200
   1996   4    23 114          10    31 305          191
   1997   4    17 107          10    22 295          188
   1998   3    25  84          11     6 310          226
   1999   3    27  86          10     4 277          191
   2000   4    12 103          10     8 282          179
   2001   4     1  91          10    17 290          199
   2002   4     7  97          10    16 289          192
   2003   4    10 100          10     2 275          175
   2004   4    14 105          11     3 308          203
             MEAN=101              MEAN=293     MEAN=192
