# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9132] WINTERSET
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia9132
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     2    12    10     0    24        0     4    57    50     0   111
 1952     4    20    19     6     9    58       14   106    90    14    34   258
 1953     5    13    18    16    10    62       20    54   106   107    67   354
 1954     0    14    26    12     9    61        0    84   200    56    35   375
 1955     5     3    24    20    11    63        9    14   177   184    84   468
 1956     6    20    17    14     8    65       21   117   100    59    27   324
 1957     0     7    24    17     1    49        0    23   181   115     4   323
 1958     1     7     2    18     2    30        4    26     4    72     5   111
 1959     0     8    10    19     5    42        0    28    31    76    15   150
 1960     0     1    16    12     7    36        0     1    57    41    32   131
 1961     0     6    11    14     4    35        0    18    42    35    11   106
 1962     7     7    10    12     2    38       14    11    34    45     5   109
 1963     2    16    18     7     1    44        6    82    61    24     1   174
 1964     4     4    19     6     2    35        9     8    93    33     7   150
 1965     2     0     8    14     1    25        4     0    32    65     2   103
 1966     4     4    18     6     0    32       12    10   104    12     0   138
 1967     6     1    11    11     1    30       35     1    41    21     1    99
 1968     1    14    10    11     0    36        2    36    36    64     0   138
 1969     2     5    12     8     0    27        2    16    48    14     0    80
 1970     3     6    19     9     6    43        5    36   100    19    16   176
 1971     0    17     9    14    13    53        0    85    26    52    54   217
 1972     1     8     9    13     4    35        1    42    31    71    12   157
 1973     0    10    11    13     0    34        0    40    33    36     0   109
 1974     0     5    24     5     1    35        0    28   208    23     1   260
 1975     4     7    22    15     2    50       14    17   101   117    13   262
 1976     1     5    18    10     3    37        1    13   110    31     8   163
 1977     4    16    23     9     0    52        7   105   226    27     0   365
 1978     2    10    13    13    11    49        4    49    56    51    53   213
 1979     3     9    11    14     7    44        5    17    27    96    27   172
 1980     5     8    26    14     0    53       18    43   196    76     0   333
 1981     0     8     9     5     4    26        0    25    57    15     9   106
 1982     0     2    18     7     3    30        0     3    66    42     4   115
 1983     0    11    26    28     7    72        0    45   202   318    33   598
 1984     0     7    13    19     9    48        0    14    80   135    44   273
 1985     1     6    14     8    12    41        1    34    50    27    69   181
 1986     0    11    18     4     1    34        0    50    86     8     2   146
 1987     1    10    17     6     0    34        3    48   105    35     0   191
 1988     2    18    22    21     2    65        6   147   159   194     5   511
 1989     2     4    12     6     1    25        2     8    83    22     2   117
 1990     0     8     8    10     9    35        0    26    43    41    34   144
 1991     1     9    12    11     5    38        1    34    65    32    12   144
 1992     0     2     4     2     0     8        0     2     7     2     0    11
 1993     0     1     5    12     1    19        0     1     9    30     1    41
 1994     2     8     7     7     4    28        5    18    19    24    10    76
 1995     0     4    13    20     1    38        0    10    68    89     1   168
 1996     2     7     4     1     0    14        2    19    14     3     0    38
 1997     1     6    16     9     4    36        2    15    92    37    12   158
 1998     2     4     8     9     8    31        8    16    29    34    27   114
 1999     0     6    17     5     3    31        0    10   103    11     9   133
 2000     3     5     7    10    10    35       13    13    16    46    72   160
 2001     0     8    14    15     3    40        0    13    58    75    10   156
 2002     1     9    20     5     8    43        2    27   102    34    41   206
 2003     1     2    12    14     3    32        1     6    40   113     3   163
 2004     1     1     3     2     0     7        1     1     7     5     0    14
 2005     0     7    13     0     0    20        0    27    66     0     0    93
 **************************************************************************************
MEANS   1.7   7.6  14.2  10.9   4.0  38.3      4.6  31.4  77.0  55.6  16.6 185.2
