Date	None	D0D4	D1D4	D2D4	D3D4	D4
2016-06-21	55.80	44.20	11.69	0.00	0.00	0.00
2016-06-14	73.14	26.86	0.00	0.00	0.00	0.00
2016-06-07	85.61	14.39	0.00	0.00	0.00	0.00
2016-05-31	88.84	11.16	0.00	0.00	0.00	0.00
2016-05-24	100.00	0.00	0.00	0.00	0.00	0.00
2016-05-17	100.00	0.00	0.00	0.00	0.00	0.00
2016-05-10	100.00	0.00	0.00	0.00	0.00	0.00
2016-05-03	100.00	0.00	0.00	0.00	0.00	0.00
2016-04-26	100.00	0.00	0.00	0.00	0.00	0.00
2016-04-19	100.00	0.00	0.00	0.00	0.00	0.00
2016-04-12	100.00	0.00	0.00	0.00	0.00	0.00
2016-04-05	100.00	0.00	0.00	0.00	0.00	0.00
2016-03-29	100.00	0.00	0.00	0.00	0.00	0.00
2016-03-22	100.00	0.00	0.00	0.00	0.00	0.00
2016-03-15	100.00	0.00	0.00	0.00	0.00	0.00
2016-03-08	100.00	0.00	0.00	0.00	0.00	0.00
2016-03-01	100.00	0.00	0.00	0.00	0.00	0.00
2016-02-23	100.00	0.00	0.00	0.00	0.00	0.00
2016-02-16	100.00	0.00	0.00	0.00	0.00	0.00
2016-02-09	100.00	0.00	0.00	0.00	0.00	0.00
2016-02-02	100.00	0.00	0.00	0.00	0.00	0.00
2016-01-26	100.00	0.00	0.00	0.00	0.00	0.00
2016-01-19	100.00	0.00	0.00	0.00	0.00	0.00
2016-01-12	100.00	0.00	0.00	0.00	0.00	0.00
2016-01-05	100.00	0.00	0.00	0.00	0.00	0.00
2015-12-29	100.00	0.00	0.00	0.00	0.00	0.00
2015-12-22	100.00	0.00	0.00	0.00	0.00	0.00
2015-12-15	100.00	0.00	0.00	0.00	0.00	0.00
2015-12-08	96.74	3.26	0.00	0.00	0.00	0.00
2015-12-01	96.74	3.26	0.00	0.00	0.00	0.00
2015-11-24	96.74	3.26	0.00	0.00	0.00	0.00
2015-11-17	84.21	15.79	2.02	0.00	0.00	0.00
2015-11-10	83.08	16.92	4.92	0.00	0.00	0.00
2015-11-03	84.83	15.17	4.92	0.00	0.00	0.00
2015-10-27	82.54	17.46	5.91	0.00	0.00	0.00
2015-10-20	86.72	13.28	3.60	0.00	0.00	0.00
2015-10-13	91.61	8.39	1.87	0.00	0.00	0.00
2015-10-06	94.99	5.01	0.00	0.00	0.00	0.00
2015-09-29	94.52	5.48	0.00	0.00	0.00	0.00
2015-09-22	96.97	3.03	0.00	0.00	0.00	0.00
2015-09-15	96.05	3.95	0.00	0.00	0.00	0.00
2015-09-08	96.05	3.95	0.00	0.00	0.00	0.00
2015-09-01	95.72	4.28	0.00	0.00	0.00	0.00
2015-08-25	93.95	6.05	0.00	0.00	0.00	0.00
2015-08-18	93.95	6.05	0.23	0.00	0.00	0.00
2015-08-11	86.39	13.61	0.23	0.00	0.00	0.00
2015-08-04	86.39	13.61	0.00	0.00	0.00	0.00
2015-07-28	93.97	6.03	0.00	0.00	0.00	0.00
2015-07-21	93.17	6.83	0.00	0.00	0.00	0.00
2015-07-14	94.11	5.89	0.00	0.00	0.00	0.00
2015-07-07	100.00	0.00	0.00	0.00	0.00	0.00
2015-06-30	99.70	0.30	0.00	0.00	0.00	0.00
2015-06-23	99.70	0.30	0.00	0.00	0.00	0.00
2015-06-16	99.70	0.30	0.00	0.00	0.00	0.00
2015-06-09	99.70	0.30	0.00	0.00	0.00	0.00
2015-06-02	99.31	0.69	0.00	0.00	0.00	0.00
2015-05-26	99.31	0.69	0.00	0.00	0.00	0.00
